gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
Plec,3.234621468,1.05521553,20.39271954,4.529161069,15.98464337,59.38580323
Plekhb1,11.13880154,25.48311801,8.838715869,3.315200763,4.631440064,0.004991162
Plekhd1,26.45384007,32.66938898,6.58299491,4.037243822,1.209031332,6.48724434
Plekhm2,2.015533715,0.70206086,2.003011461,23.68298012,18.6949825,11.59321525
Plet1,0,0.177474946,2.453663307,0,3.239267406,99.10813273
Plet1os,0,0,0.00306009,0,0,0.419259189
Plin2,0.448654995,0.670945907,64.38904632,30.42089787,25.89090977,469.1514366
Plp2,0.166100787,0.083065985,0.514411579,2.258096918,21.9922167,46.22637375
Pls1,216.2149477,166.3999811,62.92579709,6.367370817,13.95710024,8.263056722
Pnkp,0,0,2.459863775,12.26175377,23.73492326,18.50331434
Pnliprp2,0,0,0,0,14.86486313,9.15287572
Pnp,68.64657569,47.22756338,274.7042472,51.21341493,59.11048257,53.13011728
Poc1b,20.1398242,17.81138086,7.203834906,0.013435373,1.304665023,4.750191769
Poli,22.71852064,21.14153662,10.84236677,2.637709933,3.208390011,10.36408942
Polm,130.4531259,119.0932414,71.11688496,21.09555281,14.71933234,19.49775078
Ppfibp1,61.62939788,56.87484289,76.26707059,11.9328378,5.794386405,35.37087281
Ppic,4.110606682,8.672942962,1.930559841,2.839871873,7.493219256,16.8676209
Ppip5k1,1.728917709,6.785258244,2.890960734,5.582236545,21.81490034,23.65118904
Ppp1r2-ps6,0,0,0.09561203,0.024913262,0.014063641,0.013215128
Ppp1r21,35.81634336,31.75552494,16.02563637,3.382685448,14.38844728,29.40362373
Ppp2r2c,22.40790632,33.89698508,15.70291476,10.03529576,29.2447587,19.50975796
Ppp2r5c,269.4492257,288.1980913,329.5881551,47.21539266,98.6649185,233.6882942
Pqlc3,1.492232149,0.707747046,0.697357896,0.560730659,1.036348139,26.37565783
Pramef20,55.35705962,73.51257712,10.11247931,2.921990421,0.915693136,0.267929633
Pramel5,0.064568864,0.350371186,90.28775257,161.5403722,1141.067941,201.8855953
Pramel6,0,0.733138763,238.2418794,510.8936254,675.2559821,313.0962618
Prep,64.91734966,58.35514052,9.958289798,18.27160478,66.44252654,201.5338488
Prg2,0,0,0.083857188,0,0.287854715,0.000427069
Prickle3,29.33512341,19.56537664,6.385001623,0.128678642,0.508052663,0.613281793
Prkce,0.721816969,0.654582217,0.601710783,0.005710495,8.843312674,1.683482378
Prpf31,26.60372237,39.16566059,31.77765556,89.08253075,126.777641,106.0097009
Prss39,0,0,0,0,0.01443087,0
Prxl2a,3.180563091,7.515176341,4.306289011,2.190870642,1.438303937,341.652841
Psmb9,0,0,0.008528197,0.015277033,6.682713332,23.33979771
Ptcd2,4.789854536,12.21497811,3.763967001,44.84131973,59.50486099,82.99797888
Ptcra,0.007477583,0.257929669,1.279480493,0,0,0.018242809
Pter,13.7336394,22.71688656,7.334804381,3.058221529,0.767285234,5.565982635
Ptges,2.226675159,1.120504369,10.25564347,3.941609526,308.9526584,517.1223056
Ptpn4,2.986742941,1.865086076,4.138828302,8.163898776,8.952039427,12.37777915
