gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
Adgrv1,1.796815046,3.29032025,3.625892897,1.045678057,0.505105956,0.332608209
Adm,0.009079214,1.714687655,10.92074687,1.081701138,0.525612575,0.728548446
Adora2b,0.217901138,0,3.306388694,1.226950126,0.04335716,0.162886241
AF067063,0.932684027,2.26336739,375.575829,58.49448738,10.19435538,0.242203053
Aff3,10.38126773,8.073763509,10.69948068,0.625301468,1.742103315,0.326222821
Aff4,20.48544048,25.93556873,108.4813628,132.2981291,71.65735752,104.9467684
Aftph,142.0313236,140.9151985,180.0105344,118.4942525,74.50070455,45.87237515
Agap2,0.02243275,0.168914724,0.215030149,0.057012186,0.091881799,0.014221566
Agpat1,35.87067537,25.43190752,34.22301639,6.631657322,5.78381687,32.27408965
Ahcyl2,31.87188003,45.54729456,29.46636196,31.92075187,9.620581245,35.38788979
Ahdc1,70.90069261,30.40848494,51.67931111,4.687203787,1.886454848,7.295302194
AI661453,1.390363702,0.526420328,47.18237347,45.80687466,12.81876106,4.299757646
Aif1l,0,0.236063886,3.281086524,14.61925061,1.110564134,13.12775148
Aifm1,17.73915898,17.38036468,64.44916242,166.8921679,26.045458,90.06261993
Ajuba,0.31597388,0.660725794,32.48530407,87.20029744,40.87832389,17.66664601
Akap17b,170.6175226,174.0206853,186.5107795,70.61605353,5.95657242,17.50282142
AL671885.1,0,0.011696399,7.511969043,5.047745999,1.283274858,0.08983769
Aldh4a1,38.11047533,27.76911446,5.358800138,10.18610507,8.686681667,35.72527673
Alg12,11.82883241,10.8090696,8.912495081,11.22510474,18.22668509,21.01780048
Aloxe3,0.42227489,0.662156385,9.825680944,12.13345415,4.78611809,1.839420267
Amn,0,0,0.004584668,0.784336402,0.358501578,0.19219156
Amt,0.76936733,1.204135605,10.11726372,102.5895073,156.7060008,185.1052538
Ankrd44,508.2753773,640.7576148,436.6496097,28.01717442,10.32463961,5.951671084
Ankrd52,63.16463313,85.75444523,50.38010718,20.72062466,9.346139411,3.373325888
Anxa11,0.014955167,0.389322914,0.885045939,2.405601989,7.201160502,11.74947944
Aox2,0.009079214,0.421872532,0.622921804,0.746387946,0.89593876,2.841166239
Ap1s3,0.399988721,2.132359486,1.871549298,7.901382698,7.009443396,7.906148901
Ap3s1-ps2,1.766825816,1.984807225,1.589360066,0.864348031,0.868090217,1.36379596
Ap5s1,4.773245558,7.14396753,9.964584805,19.35139517,18.20258583,24.16756607
Ap5z1,0.042995464,1.787361396,1.75707763,20.24541537,13.92727212,25.65307711
Apaf1,19.97585153,23.00616013,70.62113247,153.0047977,45.33686921,66.31642214
Apc2,0.825939088,0.346462639,6.020257003,6.394124048,1.020641514,0.056083673
Aplp1,2.964384315,0.653968464,2.098535316,0,0.288364973,0.000360476
Aqp11,0.465958499,0.297835444,17.53958207,29.00165814,8.019231548,3.248350397
Aqp7,0.026170262,0.053286246,0.372546889,1.548307027,0.616948112,3.364093514
Arap2,177.3544609,221.471755,379.0561746,59.73478784,26.00881399,17.30349325
Arhgap20,20.03865935,39.8500911,12.51301746,0.446194071,2.151048045,0.026392689
Arhgap33,15.39875558,7.322955946,9.595345051,28.30075367,0.712875305,0.425532775
Arid4b,13.30559678,20.21731028,168.9320474,187.8500755,34.61348533,52.2479488
Arl3,72.69202125,43.04204893,63.61795479,19.88878957,11.00881143,10.39473555
Arl4c,0,0.046928813,0.545147762,1.479391796,0.083326457,1.336548584
Armc5,5.297230734,2.318313129,1.421674971,11.10172082,3.751998876,4.491271582
Armcx4,0,0,1.043779646,0.008722856,0.504598721,0.067746622
Arrdc3,15.36197428,16.22323286,26.28297462,1.139278597,2.059702871,6.587940636
Art1,0,0.017195311,0.017992763,0.074330529,0.269951208,0.014800449
Art3,0,0.669109,0.318307909,14.73646244,0.181739369,0.066707889
Asah1,3.383099501,8.621663796,9.319893916,56.91932848,88.28862039,255.2677458
Asgr2,9.6961683,11.16339327,1.100149243,3.018265181,6.728617538,2.336721844
Aspg,1.508872565,1.761546479,9.195576131,55.76092415,14.04616094,1.685710007
Atat1,10.94687889,5.948267156,8.706636574,11.11482934,3.74285634,6.157828018
Atf2,224.0528513,275.7150235,645.7655549,149.4545054,77.05106276,69.47975637
Atg9a,22.15487989,23.98661447,28.41798162,86.29773252,85.37476844,20.44199294
Atn1,1.402351804,0.578583929,1.307550908,5.594564044,14.3562972,12.05378519
Atp10d,5.100848061,2.058670236,1.641195951,6.736313061,24.54417009,6.127268638
Atp1a3,76.20149611,82.94971837,20.74074559,14.67580622,6.319798363,4.267432895
Atp1b2,0.276662859,3.272754674,6.33048159,20.63571434,6.906266353,7.472208168
Atp6ap1,24.80869649,16.96761928,73.40338529,210.8354565,173.7581841,169.735368
Atp6ap1l,0.302286755,0.260039155,3.801832365,10.53698522,2.863272074,9.939762334
Atp7a,21.99522961,26.00126274,34.17932786,40.52863529,7.868733858,4.39081585
Atxn7l2,8.926069861,9.673700157,1.612155848,2.947974363,0.957068638,3.753733115
Atxn7l3,0.046732976,0.275713892,60.33109808,37.89712487,53.20265882,17.04474255
AU022754,0,0,0,0,0,0.083846689
AU040320,27.44020644,24.4748568,19.72829619,32.57867442,18.00752221,14.40042491
Aurkc,53.07086052,39.44255215,14.68912706,31.18771878,23.88525573,1.919243704
Auts2,210.7243051,169.6041064,68.86273102,46.86560893,20.23426672,34.51898535
B020004C17Rik,0,14.71239132,2569.73833,1414.223732,19.37036347,0
B3galnt2,39.70002136,44.31850755,22.57369592,12.363632,6.447644555,11.63364987
B3gnt3,0,0.773779325,1.344807012,0.214965974,0.409419893,5.650374038
B3gnt7,47.55411219,39.10616482,9.994862876,6.8760054,1.669439587,59.67110643
B4galnt1,0,0,0.041607114,3.027660724,7.207862751,1.621469417
B4galt6,173.5342051,154.5021829,85.35947481,14.39685717,10.39052503,83.58642248
B630019K06Rik,0.007280602,0,0.516705853,0.051394458,0.033106113,0.004160422
Bace1,44.67870766,40.68943628,87.35542219,149.9097987,31.25683955,55.92209867
Bahcc1,0.328604349,0.574348355,0.569367899,0,0.221306402,0.175574605
BB187690,0,0,0.044687096,0,0.015529862,0.003388095
Bbc3,0,0,0.117409763,0.122611224,0.082178689,0.27929504
BC029722,0.026170262,0,0.022367249,0.496250916,0.019069891,0.065457135
Bckdk,8.907870612,6.499424256,7.971050058,24.99139065,47.56621164,96.95174387
Bcl11a,0.014955167,0,1.642913955,0.010533727,3.036714617,0.12021399
Bcl2,4.142726539,3.200235461,2.786126617,0,0.270029114,0.011107961
Bcl7a,5.86379597,6.920433325,4.569544336,66.28304247,49.04308979,18.99469976
Bcl9l,0,0.021519882,0.684215191,0.038469274,0.525226134,9.031812646
Bcor,3.072199844,7.161090574,49.83124618,56.31972497,14.0158777,20.35155527
Bcorl1,123.9167108,117.4216658,54.65256331,37.84617417,5.65742918,19.6958931
Best2,1.394482588,0.386871296,4.554765058,0.869225094,0.17678776,0.026964908
Bex1,0.326851707,0,8.531561785,45.67256926,1.02755944,0.267237895
Bex2,0.036316856,0,1.130895619,0.150184453,0.029668941,0.017195335
Bex4,0.28946747,0.239483197,0.078776658,0.652828389,0.720119029,0.599224383
Bicd2,122.8317028,147.91374,134.7937057,34.11550498,11.8020672,10.31378477
Bicdl1,13.00029763,5.593704516,13.80663324,13.66900606,6.398551108,4.017167809
Bicral,32.97856052,32.71531807,81.98023067,90.32302245,29.00903283,28.57872494
Bid,30.49610642,21.25102389,15.93757373,144.5553119,68.47825656,32.20171032
Bmp4,0.895169385,1.830713605,1.684868756,0,0,31.06215854
Bnc1,168.0879355,260.7360823,72.27849569,10.90321173,1.40569241,0.762418253
Bnip2,24.5111269,19.3018504,18.01995889,66.23462596,8.86319187,10.11400306
Bpgm,1296.622085,556.3943294,88.59187965,12.28862525,10.63521539,3.342679657
Brd9,32.94296843,35.91786845,69.81744805,228.3675704,150.0856007,92.88593259
Brdt,476.1046928,535.8234068,499.3184054,58.7654014,23.93443417,2.35122861
Bri3bp,0.453960704,0.582857129,17.84195037,165.1947838,103.9359369,21.76596788
Brpf3,38.18528291,34.01420366,63.96944308,52.03656523,30.2669718,28.38131579
Btbd11,1.062162499,0.663364259,1.452898312,0.656706961,0.298032784,0.001945999
Btbd2,287.8093558,257.2492147,138.7659836,20.84794739,16.00927435,5.993975541
Btd,6.305292859,4.261205239,2.334354653,0.134353734,2.6590542,6.752751756
Btg1,4.612593069,7.877966588,292.5075736,534.254717,366.8407066,138.3382082
C130071C03Rik,0,0.037498943,1.232644625,0.008722856,0.000848875,0.00631473
C230085N15Rik,0,0.374623124,0.062876254,5.626520827,7.305203573,13.09358281
C2cd2l,1.433006748,0.425108526,50.00345625,56.9206871,59.88399024,4.343394083
C430049B03Rik,0,0,0.158216857,0.409778888,0.163323924,7.312716301
C730045M19Rik,0,0,0.635786851,3.946577766,5.477296724,1.874045412
C77080,0,0.847532809,9.012613068,37.40929188,53.25089322,41.7142043
C86187,4029.443782,3864.312349,1730.04278,26.02492133,7.213096368,2.105510731
Cachd1,95.10357706,74.78963165,13.38253054,5.787910393,1.187346596,9.312444583
Cacng4,12.00648066,3.679704407,0.674334942,0.557567995,0.103721979,0.012618022
Cadps,13.78452903,20.19505466,12.61008374,0.02989377,0.086667238,0.059736715
Calhm6,0.654737231,0.082732141,45.76922079,7.886139501,1.687362545,0.360725499
Calr4,179.5473718,222.392618,153.4370787,14.34504094,8.515266508,4.017469941
Camk1,0.92424766,1.109656656,0.63353642,0.998107692,3.906726267,36.06006631
Camk2n2,0,0,1.07306844,2.660379637,0.777926368,0.223810041
Camsap1,277.0708465,242.4063472,142.7050701,118.0532273,71.93131453,35.64886567
Capn6,0,0.004970684,0.012240358,0,0,0.352749686
Caprin2,121.1167537,148.439795,162.424027,85.77291477,20.76076429,29.73397768
Capzb,49.61568095,34.89022086,24.4131386,26.33575702,147.0736564,291.6612332
Card6,1.657792763,2.451682163,90.96788043,95.58843953,3.730821009,1.275797053
Carf,3.375867763,7.374053725,5.099261029,5.571639808,6.64707516,15.12109893
Caskin1,0.511923449,0.245200221,10.47515892,47.75890031,29.11226293,27.20169355
Casp3,66.15371185,72.9933429,246.7244002,145.9270224,89.52830596,34.69811602
Catsperd,1.65678496,4.704139704,1.539719383,15.21863839,4.237796513,0.493054859
Catsperz,0,0,0.450430536,0,4.274831665,0.929697725
Cbl,16.1895853,23.40969904,146.3976747,269.1499345,132.425237,68.96139536
Cbln1,0.443709202,3.686018861,30.01765184,3.067486135,1.784677114,2.740821702
Cbx7,19.66177647,17.60780489,21.90191558,24.99521876,9.752780369,39.98731283
Ccdc137,0.007280602,0.107839636,74.67899677,201.2964711,33.83452504,26.11538426
Ccdc157,21.84064809,25.57200355,22.7434136,10.76723543,1.127716961,0.627029302
Ccdc25,85.38873773,90.37612149,128.6973691,212.7030102,126.6595114,70.17455229
Ccdc30,56.95233373,52.01841622,13.82953627,1.768698224,3.950319372,3.305226814
Ccdc88a,58.4533115,83.47274809,143.7567317,36.20798984,6.121112191,10.75193807
Ccdc92b,0.170706455,0.011696399,1.141197879,56.78551701,32.5559056,9.077795975
Ccl9,0,0.015395471,0.029440971,0,2.325130473,5.17402323
Ccm2,0.423744793,1.379217794,2.563964218,7.003199226,4.604717682,16.13655357
Ccn1,0,2.229246352,6.993106148,24.44127326,17.26794525,16.5002446
Cd164l2,448.2311669,187.8911378,75.653232,31.44815199,8.212325829,2.095497344
Cd200,26.64314347,18.49999478,6.912291847,0,0.315806538,4.946947818
Cd200r1,0,0.587692122,1.99016603,1.971017419,0.322874427,1.474842856
Cd22,0.236059566,0.519231228,0.0148076,2.046736489,4.118272436,8.634258116
Cd47,15.90126791,8.222966454,27.91053855,15.43945286,12.70878133,5.164611565
Cdc25a,197.7811041,218.0104667,90.88709705,206.3632578,160.0186505,104.3049437
Cdc25b,89.13435909,81.0725506,23.36677918,14.13449513,35.09770285,12.23046066
Cdc25c,4.658927624,3.658983747,204.1331974,88.78817786,36.34442601,49.36327418
Cdc42bpg,0.368129899,0.406052587,0.834403335,3.188880895,3.661121454,2.904052345
Cdc42ep2,28.715236,27.85487749,40.7083732,76.14108732,16.54287344,10.17866473
Cdc42ep5,0,0,1.175734972,7.431086003,8.537790335,16.14419403
Cdc42se2,1084.404251,1452.071359,636.1078666,114.5074842,49.27117974,80.74797017
Cdc45,87.70328815,105.5713378,181.2790755,362.3392337,121.4172547,99.81303674
Cdk18,0,0,0.053083873,9.052718205,20.92183356,28.23022151
Cdkl3,0,0.229414358,3.151589252,2.051754789,3.123598244,0.790819037
Cdyl,87.68732422,95.84769379,42.36010561,32.06139921,12.20752396,16.40937138
Cebpd,0.290246875,0.206318901,3.568287084,9.753455584,1.033936927,0.346390748
Celf4,0,0.427730543,0.187698514,0.515481311,0.39857328,0.366081413
Cenpb,0,0,0.103080318,0,0.807511304,6.518518321
Cep104,90.77225784,100.1044733,34.28259301,65.17190326,38.72546619,19.58684829
Cep350,47.80157728,67.36813238,60.88016665,29.82952916,12.06418479,38.35184093
Cep78,109.7415489,59.53150809,11.45046717,23.56765737,14.95810459,13.92154086
Cep85,113.3217219,118.7764722,58.08746184,27.80926274,20.3972632,15.19934532
Cers5,135.8998903,78.79802048,70.30546578,156.7313873,64.46550154,36.73421599
Cfap70,0.152892633,0.186505645,2.093868224,4.473294814,1.303138726,0.743994705
Cfp,0.160173234,0,1.614988944,2.738408511,1.380947491,1.914189817
Chd2,54.89806192,67.5625309,21.65573352,14.04478473,14.32304661,26.25515213
Chd3,5.016723766,2.911827024,6.31415106,0.703231107,0.950469562,9.161217157
Chd7,315.7712102,258.9775647,224.7043394,170.7904025,51.30201249,48.11892839
Chd9,119.872732,140.8588058,82.69736721,17.66992102,5.47939584,13.58028979
Chek2,3.97355825,1.331398595,49.43210863,194.9764798,263.6419692,79.49042378
Chrna10,0,0,0.672386003,10.5471698,1.239962208,0.011530854
Chrna9,0,0.067941371,2.018109384,13.90130411,3.406806885,1.303652487
Chrnb1,1.473006341,3.147654793,1.470049442,0.721118663,0.255982116,1.911648763
Chst11,57.08535994,90.56174055,38.11537565,0.946348224,0.640410054,0.818249404
Chst5,0.04539607,0.703315332,16.19375693,15.13034116,0.484171311,0.146962413
Chsy1,538.1358682,631.0524968,234.4221056,30.45160715,10.57985276,13.03457717
Ciita,0.299614064,0.086079529,24.01291449,33.49545823,15.33336055,0.015005428
Cish,0.170106704,0.437736016,3.800740372,53.83864638,20.54983636,16.41758425
Cited1,0,0.471616003,81.13355193,717.6026311,647.5909089,50.89016321
Ckap4,0.927220323,0.270210846,1.344579483,0.008774586,1.694153128,22.46738584
Clic1,0.014955167,0.222231579,4.899511341,6.284427555,14.77072162,64.10860098
Clip1,252.0301159,268.5775836,139.5960334,112.3083746,48.67116871,41.36526426
Clstn1,15.46340305,15.06994795,9.957603106,9.338554602,4.319091273,68.46099365
Clstn3,0.04539607,0,5.612862673,17.35387489,11.1693512,9.559600915
Cluap1,12.0135546,7.217475092,1.891877591,13.34242441,20.78279011,15.07215607
Clybl,54.27461449,34.00568371,11.69623017,19.07551826,20.54183102,34.6950286
Cnnm3,4.024463399,0.659514149,42.62954443,67.32235466,18.35656771,14.480456
Coch,0,1.076088142,2.539515711,0.201530601,0.092321405,0.844541524
Cog1,3.260615637,2.469094333,1.552875715,14.22286807,10.71702838,5.524610245
Col27a1,0.867391982,0,0.959462743,1.866995045,0.88829913,0.040842214
Col5a3,0,0,0.085999858,6.101650278,1.538978848,0.039631838
Colgalt2,0,0.239721599,50.315717,27.03135572,0.824422785,0.181436888
Coro1b,14.12814149,14.10860199,4.769241421,14.01883302,20.03244368,76.98813257
Coro2a,0,0.28861155,0.018740571,0.559360227,12.35798188,5.370362612
Cox4i2,2.020540577,1.048766435,8.534813696,41.83676918,20.03360081,0.207417707
Cpa1,562.5449707,305.5413969,225.9015176,9.780713216,12.70120228,0.799442487
Cphx1,1.589285463,3.207198611,0.824141719,0.890423761,0.486004694,0.24415281
Cphx2,77.47087723,86.95166075,42.91096127,40.19671015,12.26454628,5.197675743
Cphx3,93.84895544,113.543611,50.22949102,47.59979523,15.03917315,6.589270042
Cplane1,189.6596002,124.5017342,156.8954088,79.21589415,33.02252528,18.75607859
Cpsf4,20.07460928,16.36698802,107.9692829,99.85135362,34.8634178,49.10811719
Cpt1a,0,0.839226242,20.22567264,48.7376625,40.90731676,45.25235842
Cpt2,3.7625879,3.750470874,9.599294606,7.759897836,0.644510083,25.71759059
Crebl2,0.533605066,0.165042035,34.24877815,24.21235065,13.65004337,7.73242203
Crebrf,46.39795625,40.74642195,102.5532605,215.288611,98.27506934,16.08363431
Crim1,0,0,0.43280981,1.210048837,0.439930228,0.594607512
Crk,374.8256899,485.4189586,546.0174524,185.8041426,33.84581218,106.9918935
Crtc2,7.184375721,6.113300499,15.59087915,11.30003951,7.851260528,9.567230635
Csrnp1,0.771329548,4.611675343,160.2835609,100.0956682,45.08402092,26.53915166
Csrnp3,8.907896778,11.72309314,66.53865591,5.299332705,1.734793453,0.817266012
Cst7,0,0.081874792,81.95561748,66.77756137,23.01392784,1.767967507
Ctbp1,8.606652386,6.921092733,4.892905572,4.383124284,10.84710152,31.03027397
Ctdsp1,26.04263363,28.49208174,21.72255087,9.743291228,3.332442958,14.18446687
Ctdsp2,54.72053094,51.86722398,29.46163667,51.99468001,15.78141928,54.51915744
Ctnnbip1,44.51902724,24.56245178,40.66225297,32.53486584,9.23050299,5.35303514
Ctnnd2,12.59982005,9.550846357,6.58315498,1.052659159,0.171913513,0.026512602
Ctns,24.64130943,14.49419144,2.530945073,12.59442875,5.6927693,23.68429993
Cul9,0.196812631,0.278201504,1.550858107,2.989784066,0.147242025,0.690917404
Cux1,32.68373231,20.28148956,14.58913778,6.967947988,30.50972687,40.55285105
Cxcl9,0.523405243,0,0.176073066,2.600275654,0.150185392,0
Cxxc4,0,0.018918754,0.110569686,0.007693855,0.004159291,0.005603777
Cybc1,0,0.018918754,11.74017962,48.64303771,15.23212965,16.68619645
Cyp17a1,0,0.506178314,1.66794749,3.597479065,1.385830803,0.102791116
Cyp4f18,0,0.104053146,0.031934374,0.536377164,0.18081902,0.184223372
D430042O09Rik,56.96266995,47.63166246,43.79171217,38.72500037,4.445085032,5.426848643
D7Ertd443e,445.4649716,751.1437268,375.2155047,172.4681874,23.5281783,0.347247018
Dab2ip,5.053255121,3.458820289,2.758460529,5.47985719,2.132925174,24.32954622
Dach1,0.429758474,2.745635731,0.255436605,0.023434128,0.014067563,0.004765959
Dapk1,0.910430166,0.075614365,2.28070138,2.47073681,0.814830036,18.17639341
Dcaf12,460.03269,441.0705271,233.192907,122.7283481,87.03258859,84.81907425
Dcaf15,6.08397714,4.914418789,1.316007077,2.974585681,19.11740272,15.87448403
Dcaf5,241.8820614,289.2075321,217.8922526,182.61474,19.76247209,14.67347631
Dcakd,302.0814097,230.6718036,75.32309595,50.98546449,25.36503172,82.05008809
Dclk2,671.5438746,526.3097252,134.5649647,2.448149301,1.223842768,7.352672696
Dclre1b,20.08444271,18.11769115,57.90162871,47.39568702,22.19623592,15.48702789
Ddah2,0,0,0.735596311,11.04238323,19.09830504,12.74772456
Ddhd1,151.0659912,197.6752021,114.1253018,25.46027554,20.07201939,14.68955417
Dennd2a,20.07791289,15.46203232,31.44653827,38.30309627,6.75881866,7.358545905
Dennd2c,0.575745767,0.082170767,8.24217547,0,1.699694943,22.08308862
Dennd4a,126.7170258,148.4876751,135.8702681,17.80757905,15.63375114,4.772207369
Dennd4b,8.524062505,8.66090046,11.10758569,6.458673748,1.57719463,2.831670091
