sizfp_D3_down
Ren1
Ly6e
Rps2-ps13
9030619P08Rik
Gm13394
Enpep
1700097N02Rik
Uba1y
S1pr5
Gm2451
Gm14760
Glrx
Tmem171
Krt8
Gm5559
Cyp17a1
Gm2606
Slc4a5
Gm12070
Pak6
Lncenc1
Tpm3
Ift172
Coq2
Gm36026
Limd1
Gpx3
Krt8-ps
Lgals4
Il10rb
Mgat1
Rbm20
Xlr5a
Gata3
Spp1
Xlr3d-ps
Gm12537
Krt18
Ulbp1
Il18
Plat
1700080O16Rik
Gns
Stard5
Sel1l3
Cpxm1
Ldoc1
Ggta1
Vstm5
Gm3839
Slc14a2
1-Mar
Gm32857
Cln6
Gss
Tnfrsf9
Ttpa
Tat
Rps6kl1
Gm23991
Laptm5
Ajap1
Kmt2a
Cd79b
Pld6
Pygl
Fabp3
Csrp1
Sh3bp5
Gm12286
Gm4737
Muc19
C330024D21Rik
Rasip1
Vmn1r207
Dnah8
Acss2
Plp1
B3galnt1
Efemp1
Pla2g7
Efhd2
Slc28a2
Inava
Angptl4
Gm28588
Cdon
Gm31630
Zfp93
Krtcap3
Psap
Anxa6
Gm49759
Gsdma3
Nudt19
Gm27694
Cdcp1
Dusp3
Agpat3
Ablim1
Pomk
Dhx34
Txndc5
Nbdy
Mgst2
Tmem14c
Atp2a3
Gm30082
Anxa5
Itgb2
Fabp3-ps1
Gnpat
Gstm6
Mybpc2
Nlrp4c
Impact
H2bc4
Myo18b
Raet1e
Rab15
2410012E07Rik
Stom
Id2
Ptpn14
Tfr2
Man1c1
Nectin1
Tcf15
Gm5930
Tmem255a
Acad9
Col26a1
Xlr3a
Fcho1
Krt87
Patl2
Gria1
Gm26811
Cbr4
Tmem9
Mical1
Gm37900
Ube2d-ps
Oxct1
Slc18a1
Phgdh
Meltf
Prkaca
Hsd11b2
Hspd1-ps3
Dsc2
Pcbp4
Tmem98
Ank3
Fgf18
Rab17
Lce1m
Atp4a
Ephx4
H60b
Gm11725
Klk7
Crtac1
4930455G09Rik
Lrp8
Kcnip4
Gm43079
Ccnjl
A030001D20Rik
Hmox1
Efcab5
Clec4a3
Klhl26
Gas2
Ano7
Gstm1
Gm43010
Ddx3y
Kndc1
Gm6526
Gstm4
Tmem221
Gml2
Khk
Gm20300
Add1
Aco1
Aldh1l1
5033406O09Rik
Snord87
Lrrfip1
Gm10481
1190007I07Rik
Tmem86a
Nudt7
Cma1
Timm21
Slc37a2
Def6
Nudt17
Ano10
Dtwd1
Tram2
Gm7336
Gm10359
2410080I02Rik
Gm42547
4933402E13Rik
Rbm43
Nod1
Dock1
Gm38257
Gm1141
Eva1c
Gfi1b
Gm15512
Gm3272
Greb1l
Rtkn
B230311B06Rik
Gm37494
Flywch1
Lrrc24
Rapgef1
Tmem181a
Col4a2
Ttc21b
A2ml1
Gm49146
Mlkl
Gm12116
Slc48a1
A830073O21Rik
Gm13443
Peg13
Nek11
Gm20659
Dab1
Cd86
Ppargc1b
Wdr54
Gm16984
Tbc1d7
Hsd17b1
Gm38056
Adh4
AC139579.1
Gm8126
Cyb5r3
Lpin3
Rbmxl2
1700010I14Rik
Tpp1
Rasgrf2
Sprr2a1
Sohlh2
Gm35248
Rnpepl1
Tktl2
Susd2
Nlrp9b
Kirrel
Ephx1
Gjb5
Gm28800
Mir692-2
Ccn4
Uhrf1
Ube2r2
Rasd2
Slc19a1
Slc28a2b
Catsper2
Zbp1
Gm42463
Ifngr2
Gmpr
Gm26602
Acvrl1
Tbl1x
Lhb
4921534A09Rik
4933431E20Rik
Fbxw4
Impa2
Tex101
6330537M06Rik
Ttc7b
Mycbpap
Gm23297
Fmn1
Pycr2
Fam171a1
Iqcf5
Vdr
Fbxw20
Gm12655
Bcl9l
Snx19
Igsf9b
H2-Ab1
Gm47071
Csk
Tango6
Xlr4e-ps
Hephl1
1810014B01Rik
Gpr4
Bcar3
Clec2f
Sec1
Slc36a3
Gm45052
Prss36
Capn6
Ddx19a
Gm48766
Sigirr
M1ap
Gapdh-ps15
Zfp334
Tbc1d16
Lrrc61
Cpt2
Mgat5b
Ttyh3
Slc15a2
Gm26608
Jag2
Foxred1
Gm44646
Gm28177
Maoa
Mmp9
Gm6644
Abca1
Snora52
Stradb
Chst5
C78283
Lbx1
Ppp1r12b
E230020D15Rik
Arf3
Gm43009
Rdh16
1700125H20Rik
Krt14
B830012L14Rik
Gm22304
Rab11fip4
Syt14
Snora73a
Tmc7
Nudt18
Wls
Crtam
Snord14d
Raph1
Gm22687
Arhgap17
Ankrd24
Tmco4
Gm16172
Ankrd45
Mtrf1
Myh14
Carmil1
Gm38248
Bphl
Cyp4f16
Fbxw17
Crym
Trpv4
Vwa8
Gm8615
Olfm4
Gm48796
