gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
Gm13962,0.054447137,2.585700557,6.471736341,3.311837256,1.211619693,0.608066678
Gm13964,0.07905604,8.195349222,11.31423821,3.788154275,1.980350171,0.714302259
Gm14267,0.980119994,1.099773239,4.004377733,3.757455364,1.353976089,1.096989445
Gm14370,0.054447137,0.434117864,0.635862193,0.353336264,0.178566874,0.135215842
Gm14552,0.054447137,0.136840827,0.63448772,0.326115234,0.176285695,0.111018105
Gm14742,0.054447137,11.2914737,12.38094823,6.355866054,2.962380655,1.214532084
Gm14929,0.054447137,0.580471561,1.423339284,0.928574499,0.717792968,0.21739455
Gm1527,0.054447137,0.534242728,0.91595251,0.395839403,0.086065973,0.081369622
Gm15303,0.054447137,0.315643296,0.726693836,0.283586589,0.149227539,0.166257073
Gm15314,0.054447137,0.158176824,0.525526437,0.182604061,0.054447137,0.054447137
Gm15455,0.363960069,3.863198724,15.80497784,8.175354926,3.817167639,2.060432784
Gm15691,0.110844041,1.54757612,4.171046705,2.318585575,0.846383653,0.330635123
Gm15753,0.20922845,0.934860091,4.185659727,3.170246113,1.297090913,0.51913661
Gm15762,0.054447137,2.62533294,3.826337917,1.606111347,0.87814587,0.380273162
Gm15850,0.054447137,0.340634805,0.608759331,0.419149352,0.358919752,0.251109525
Gm16004,0.054447137,1.243395529,1.533901759,0.876588485,0.390624449,0.190417704
Gm16026,0.152831546,12.88658741,92.18914866,51.35470347,19.25247462,6.984160255
Gm16028,0.054447137,0.36200401,0.724136226,0.178664185,0.237186993,0.135215842
Gm16092,0.054447137,0.211884792,1.173283469,0.764997084,0.295743748,0.27260361
Gm16094,0.054447137,5.552943194,10.33943914,7.182528205,1.450599652,0.633678238
Gm16202,0.054447137,0.319271163,0.782568477,0.229135206,0.149227539,0.109660228
Gm16239,0.07905604,6.012820685,10.55880893,5.028327093,1.956071158,0.940790578
Gm16243,0.054447137,0.351737593,1.256329732,0.384450883,0.203328242,0.054447137
Gm16332,0.082660838,24.41552017,50.20182568,22.21237032,8.043325531,3.240576449
