gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
A230103J11Rik,4.800980603,1.407361026,1.971747529,5.194599334,5.05874523,5.666249407
A330009N23Rik,1.663066783,0.956396424,1.667821567,3.89706375,3.147491515,5.737867457
A430110C17Rik,0.515972311,0.136840827,0.166048368,0.489567862,0.503227393,1.075496716
A830018L16Rik,2.187353196,2.564726611,3.054960936,7.176283932,7.052274942,7.235664921
AC160138.1,1.967969968,0.595196231,0.646433041,2.236125851,1.457890014,2.601395181
AC163616.1,1.940256389,1.715823612,3.120269979,3.8195827,4.004471216,4.336031128
AI506816,3.199612853,6.246697638,5.396183446,7.006460508,5.966848839,7.540836011
AW549877,90.79736909,79.9412416,116.8504512,163.0479886,169.8088893,189.3886531
Abca1,21.68314569,50.95256357,45.88455546,54.83013119,53.4336863,72.43327026
Abcb1b,54.57806151,55.20701375,69.50222766,75.03781083,74.38130088,94.83017954
Abcb4,0.399394653,0.398107095,0.439808651,1.530318758,1.459938497,1.767474406
Abcc4,38.14708148,42.28322897,50.75950642,71.34308505,66.37394119,80.37336852
Abhd16a,20.00947305,16.14931149,23.1352724,28.93910901,36.9746293,38.96219683
Ablim1,28.24375367,25.52680996,28.8766597,40.80160931,40.8516478,51.44855206
Acadl,41.38286643,27.90594108,35.12755548,49.97092373,56.15149922,56.40542733
Acd,25.75011585,18.1575971,23.47523878,26.09545423,24.45070921,31.69343855
Acsl1,54.8951252,44.43834631,57.85919746,66.10709555,77.4625645,79.40827083
Acvr1b,50.63270489,69.52813757,79.05021847,106.7042928,98.85772598,109.5674489
Adam15,49.09753163,32.64353401,38.57696997,52.94251634,46.91406472,61.4142929
Adamts14,31.34362544,36.29522918,30.34277999,42.91849895,39.29305027,53.16942796
Adamtsl5,1.144953418,1.057316079,1.215655377,2.260830745,1.721296014,2.864496084
Adgrb1,43.2396028,59.09388452,59.44956517,103.8651078,121.7175144,174.7992531
Adgre5,31.08454863,51.23465715,64.58279517,72.04376058,73.86208488,85.30986762
Afap1,18.72070891,11.55406897,17.45227322,21.97363583,21.38565427,40.45340539
Agap1,52.1452443,51.84238408,60.75935531,93.6989953,74.93195298,106.6137163
Agpat3,23.18095463,24.83413578,32.00150671,46.75300901,54.82294866,58.42699404
Agrn,355.3116919,219.0493748,301.2058681,424.8251443,340.9620877,476.0312483
Agtrap,25.28834297,40.73912416,37.27628532,47.08269867,49.69430645,53.12506923
Ahnak,204.6925911,207.2031713,176.8236866,271.9206556,294.8611362,600.3226755
Ahnak2,0.831994954,2.835460901,2.675860895,12.00525675,19.03429414,22.74578112
Aig1,12.74626518,11.7577869,16.36452011,26.2014727,29.88868015,32.19507653
Aldh1a3,2.542990168,1.879914311,3.732062912,3.528006894,3.884079865,4.203582106
Aldh1l2,4.624580064,6.24869624,10.12366801,20.47803733,16.93752229,21.81660733
Alg3,15.40041161,18.76543131,24.70422366,28.88428245,28.82180375,35.05384464
Alkbh1,71.58265799,50.04905923,58.95625034,83.11814766,87.14727623,107.5501898
Alkbh3os1,0.853027315,1.060035742,0.698105027,1.560012164,1.861867544,1.926442859
Amdhd2,21.5109249,19.33260694,37.50577046,63.26471198,66.02786623,74.67772471
Amfr,21.76574225,22.3489962,32.46914866,50.49866662,52.98845418,61.37207614
Amy1,0.466001721,0.573238101,1.218780245,1.258279435,2.226559083,2.40322747
Angptl6,2.993773238,4.773297898,4.905839675,7.656290421,8.518849083,8.89670457
Ank1,1.447339032,2.151727058,1.559544922,2.613637398,3.610440131,4.197496626
Anks1b,2.015011749,0.713087651,0.88870955,1.401325506,1.640221442,2.827546371
Ano3,8.177667042,5.245122697,7.956521697,7.33371718,10.3884971,16.96780004
Anxa11os,4.773002213,1.43493535,2.732795275,4.58298651,3.087145742,6.674723252
Aox1,2.067651273,1.206531301,1.313595585,1.897843738,1.918208663,2.553289962
Ap3d1,97.57604022,95.06806606,106.1453249,165.8017098,155.4118919,174.3501579
Ap5z1,4.50568474,10.23537286,10.61578041,12.49626035,11.86055946,12.50072093
Aqp3,73.87471039,49.78474311,160.4531902,311.1708619,563.8003932,723.8678402
Arc,23.61408939,13.20159848,15.98398479,16.86318832,17.53900606,28.18012558
Arhgap21,24.51046477,48.83289778,44.72446954,61.87872081,63.76573797,71.41807659
Arhgap9,13.73109703,15.72619539,12.02994856,17.78489568,23.49310602,26.77233056
Arhgef6,0.797070732,2.871531364,3.650686377,3.553535849,3.751780466,3.995924059
Arid1b,10.62760582,18.61744593,16.21455331,22.7769481,23.62664802,33.73218484
Arl8a,91.83433052,53.75091375,72.50661281,98.2578037,117.7989876,137.3027392
Ass1,503.3129451,387.9297262,432.0602571,429.0597199,513.2443983,715.1433862
Asxl2,28.70316914,53.45606791,48.51215497,57.13026551,58.43013509,65.76358012
Atf5,9.978660063,17.4707091,41.00856569,57.68008503,61.0094861,68.27528134
Atp1a1,836.2122383,616.285498,785.2879654,1004.352442,1086.482418,1197.258941
Atp1b1,295.6222954,242.5120241,363.6745718,441.3182032,541.6314626,636.906032
Atp2a3,107.3015476,88.69421932,114.4176303,181.283041,169.3029546,204.4001773
Atp6ap1,48.89934948,43.80809954,65.44477397,94.106117,103.9472673,115.7804056
Atp6v0a1,48.38856842,40.58853453,56.41323141,92.29417774,84.14840727,101.5555384
Atp6v1d,87.73425857,82.91172587,102.8217304,120.8647092,145.9245188,152.555057
Atxn2,119.5037823,71.23953209,91.70954562,116.7679139,100.821397,126.6321647
Atxn2l,405.143509,274.6631385,387.3419048,537.7694018,480.4405621,637.2705055
Auh,39.02191704,22.35071764,29.28993389,35.40845968,40.83209769,42.30821862
Aup1,29.48167059,27.98744768,34.23771802,44.32436544,49.71218858,51.36612359
B3galt2,1.068261241,0.373115586,0.638493592,0.691409221,0.41763121,1.539975708
B3gat2,2.739849796,1.628636064,1.862288292,3.02387742,2.85338703,3.161605782
B4galnt4,38.90923401,86.10358408,77.9227834,90.32948694,107.2614101,119.0734551
