gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
A230083G16Rik,1.80017589,0.867457166,0.91363551,0.664325139,0.36137051,0.222900802
A330023F24Rik,1.504435101,0.434117864,0.52297911,0.703208431,0.266489808,0.327796356
A430005L14Rik,46.97805406,38.19555982,45.4468226,40.28542844,33.48342293,22.02525088
A930016O22Rik,0.82170122,0.580471561,0.389391001,0.174688069,0.146996334,0.167661056
AW551984,3.602416396,2.896487296,2.17602864,2.857105772,1.872354802,1.398773688
Aacs,80.8409095,45.82370423,33.62604081,26.34843842,25.01114831,23.91480236
Abcb9,1.996427432,0.56297893,1.640611817,1.86840205,0.977290016,1.2128111
Abhd8,44.67442903,24.68378542,20.91025318,18.79815928,14.19225658,10.35325431
Acaa1b,21.47453832,8.775132324,12.4470039,12.95095317,8.182265747,7.100383854
Acaa2,35.04137094,29.49633452,23.78436087,23.39971421,20.89184608,14.31767147
Acadvl,24.04727617,17.29858961,15.6095951,13.31983444,9.937427262,8.422252256
Acap1,31.48876882,22.84651603,19.66624217,18.86566941,12.73439515,13.81287142
Acat2,124.0273638,120.1275059,76.59995803,51.00264233,50.30206891,43.33624257
Ace,11.46408976,9.742924339,9.862417676,9.007249738,3.898902955,6.566199438
Acer1,0.712525547,0.651939541,0.420423257,0.104932186,0.146996334,0.054447137
Acly,784.9904422,586.932142,434.9017892,319.9212174,328.8318168,339.2057891
Acot1,44.6164631,26.15464787,25.5869568,20.06628579,19.10655062,16.49616279
Acpp,4.162414003,2.187353196,2.876839544,2.538590373,2.039774214,1.410991151
Acss2,38.82824667,21.15749329,26.94393965,26.30039344,17.56241094,16.44416953
Actn3,38.45443199,29.15153783,17.95219966,15.68078089,10.75923983,4.896105425
Acy1,32.64314196,23.56489373,22.76414528,16.58060232,19.48128561,16.5450967
Acy3,3.869887022,3.61261249,3.011567599,2.053359702,1.143643971,0.916493663
Adgrb2,18.5788948,7.870751497,12.61324933,14.47279538,7.376578235,5.640255596
Adm,1.90883782,1.189036824,0.724136226,0.7795385,0.32731315,0.331867001
Adora2a,2.334881004,0.501725229,1.028012721,1.9883007,1.046967398,0.612181729
Agmat,1.486699333,0.706377633,0.555392111,0.516164618,0.149227539,0.109660228
Ahr,10.99246862,5.982161684,7.968354408,10.8622363,6.992369803,4.944636359
Aif1l,8.367086487,6.269346526,5.773932138,6.114700409,4.289683469,2.347193746
Aifm3,15.78072517,9.203504603,8.457405541,7.703991262,4.044788199,2.57152645
Aire,52.64432401,48.22240772,20.49936077,6.29430955,1.942579048,1.938851436
Akr1b8,12.39848206,11.65217779,6.409853789,3.268268464,2.943484519,1.674372426
Alas1,37.18422018,34.72466587,28.5152188,24.72328184,15.49253573,12.29962915
Aldh3b2,1.623828935,0.885050673,0.47238928,0.528049579,0.329665813,0.216032642
Aldoa,2636.150341,1995.93096,1492.209384,711.4069597,726.1721219,846.3926738
Aldoc,73.88470203,59.19488452,35.85248931,14.75085434,10.59698913,9.294761393
Alox12b,9.723711018,6.39832614,2.363225066,1.004993477,0.446882545,0.193219693
Alox15,1.416162066,0.817415896,0.922677125,0.749184506,0.237186993,0.19178681
