gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
A030005L19Rik,0.670645717,2.015627208,2.238778016,2.535788327,5.881860938,3.605246189
A630001O12Rik,0.054447137,0.054447137,0.083007754,0.411687188,0.670450393,0.636403444
A730011C13Rik,1.286073687,0.670304678,1.193762636,1.909909456,2.120363915,1.794530031
A930028N01Rik,0.248250601,0.079452753,0.447663162,0.900476507,1.049786564,0.572915183
Ablim2,3.936701472,3.344045211,8.513901031,9.146479778,10.80024748,8.539737168
Acot13,25.33871919,22.71154612,29.96388601,37.07093499,44.39755891,28.0624151
Acox1,25.37388769,21.17848837,27.94169891,42.4645246,43.68451009,37.0664148
Adgrg6,0.772506648,1.096226438,1.754973338,2.237143872,2.719581139,2.278508205
Adi1,46.80206869,35.46968573,44.29551486,69.81689277,72.30425597,62.83624391
Adssl1,34.05430882,15.44824953,39.81366196,86.48496152,91.28646778,56.74609113
Akr1b7,0.603263389,0.409151643,0.744826991,1.300404136,1.606829215,0.741213597
Amhr2,6.61038008,4.88332589,6.355916438,9.196663269,11.00096799,9.245458885
Ank,10.2212574,16.20091194,15.90322338,22.20942531,22.62001082,19.76011578
Ankrd33b,5.972238154,7.265951969,14.92166547,35.54338425,36.48435608,33.21538159
Ano10,3.305957992,2.645663659,5.560695868,6.487396853,6.502524816,5.536858091
Apopt1,11.80201812,15.42288063,22.5266635,30.88474205,34.5604029,30.67104522
Arhgef10l,15.39590114,18.6891049,25.94486971,38.54553248,43.78998849,37.45981051
Asah1,124.7859671,134.4128526,192.9556007,256.4751868,286.9530428,270.5406736
Atp6ap2,154.7075353,164.2305363,249.7775645,292.5513031,297.5783172,296.0207397
Atp6v0b,108.2004855,75.49978348,142.0296307,230.589551,235.6585396,212.3243331
Atp6v0c,79.96857143,107.1285808,119.9260187,142.1417143,167.3521607,155.6810044
Atp6v1g1,121.3055851,96.6827225,132.4704784,178.4827355,232.2067221,208.0206965
Atraid,11.85647093,13.63224959,20.00619796,22.52699954,26.9148976,22.80402523
B130046B21Rik,1.721750305,0.676746817,0.503514671,1.666111212,2.028716497,2.010119631
B2m,18.54981677,14.33302975,21.97114589,34.26291781,40.35937598,37.48961488
B4galnt2,2.754031454,3.41902095,5.228655674,8.999627713,10.27902685,9.186747341
Batf3,2.12694317,0.656337328,1.651758393,2.536639679,2.801902448,1.494544431
Bend6,1.673423478,1.980162202,2.896646574,5.676822677,8.82341208,5.793802408
Bhlhe41,8.484301515,4.114088606,14.76516842,56.92698051,64.92691333,57.00044393
Bnip1,22.09646021,16.9530701,20.48877863,30.728386,34.34732226,30.54834211
Brd8dc,0.733626902,0.587875481,1.037215809,1.52211796,2.244763043,1.683007884
Cables1,1.335838626,3.180051007,3.287676602,5.396530052,6.019768558,5.559981829
Cacna2d3,0.807270871,1.017558887,0.528045161,1.196141218,2.094135599,2.007312778
Cadps2,1.137688704,1.010031826,1.335345208,2.526994835,3.012146857,2.137932208
Calr4,3.880255977,2.549702826,5.182978776,8.079499509,9.660682463,6.138814389
Caly,1.638291035,0.684351449,1.112203576,2.123237751,2.3260209,1.623426998
Camk2n1,38.15415246,28.79134262,59.62650554,116.3044172,146.5289517,135.1417008
Car13,12.34118879,12.49955134,17.05002202,26.11390622,28.78421747,22.03035565
Car4,5.916733049,4.055660039,6.349319441,7.391163995,8.451922866,6.442363689
Car5a,0.311098732,0.480404281,0.978259353,1.26521667,1.391886849,1.165656089
Cavin4,3.695081197,4.434316275,6.367490827,6.937555266,7.306610293,5.184111701
Cbln4,0.216463669,0.197978601,0.725237885,2.977748423,3.048027528,2.123818085
Ccdc125,2.207654861,3.713023259,3.062682665,4.135213088,4.809228343,2.9804394
Cd300lf,1.652286399,1.479056422,2.983774743,5.130092772,6.761317623,4.482224111
Cd46,0.107269741,0.426788373,0.921301283,0.931758559,0.974770429,0.744139828
Cd59b,1.614775019,1.149904973,1.287136072,1.957409377,2.459601362,2.318874129
Cd63,64.95639481,65.34524586,95.45187933,185.7568621,233.702469,204.0159603
Cers1,2.943463306,1.840864794,3.926397095,8.876166471,9.605699004,8.463702418
Cfl2,21.05914541,17.29661511,21.94213161,29.25222395,33.32551372,32.83263355
Cgas,0.906161774,1.346481584,1.250720706,2.263543862,2.876758358,2.45331626
Chchd10,212.8296306,148.8545657,217.8461127,368.4268184,380.4344925,369.9344187
Chchd4,58.49136811,62.61974958,89.01941601,118.6575589,129.2879531,82.56797876
Chkb,1.827220438,1.168487602,0.970682128,2.123237751,2.504260198,2.13161297
Chpt1,13.6117399,10.36888948,14.05015988,20.12527975,21.77472377,20.08558702
Cldn4,122.4232044,96.85075477,209.6142196,437.1782986,516.1496637,396.0468481
Clk1,167.0172586,139.9799538,210.9124421,224.9604048,258.5085868,231.2805423
Clk4,41.13484825,35.78348195,53.75774072,67.19839463,91.72681852,76.21529608
Clybl,17.81920676,14.36645075,20.35156631,27.84810045,28.59719192,18.51596127
Cnih4,100.5862446,92.01584651,133.3631798,160.1956749,190.697038,181.853719
Cnn3,265.2138811,225.1591949,438.0698097,590.1895872,620.9868916,522.9396966
Cpne1,0.346622635,0.265584025,0.246566587,0.668099271,0.936601347,0.714302259
Cpsf4l,3.510366413,8.662362468,6.240539958,11.1316995,12.12591896,7.126673526
Cryzl1,20.82397226,29.73647814,44.46723709,50.52539272,50.73954455,40.10069151
Csf2ra,9.964056661,12.03489649,14.36441525,20.30164942,22.59845543,21.11112291
Ctsa,74.36513285,65.02384758,101.2342844,187.6073924,223.8206934,207.9653864
Ctsb,315.2411139,262.8165778,373.6485748,548.4785722,660.0815184,650.0919984
Ctsd,287.3572618,194.5323173,275.7325752,385.881074,476.8445155,474.4449216
Ctsl,185.9823857,171.9088594,262.3637355,339.099104,405.0791895,342.8717043
Ctsz,66.58024068,59.85135042,82.88993977,112.4780819,113.3667205,90.89178351
Cuta,59.49770356,38.29044362,57.12797945,86.31451463,92.26078373,71.46703778
Cyba,38.15734555,27.54848832,68.88727284,160.3596913,195.8709538,144.6604841
Dbp,1.670011592,2.657109314,4.152781534,7.972697478,10.19390298,6.49503214
Dmrt1,14.2447151,8.69498374,11.63904877,23.94581606,24.12529461,15.71394277
Dmrta2,1.033683811,1.45810602,2.236050995,2.227440941,2.472094519,0.91525547
Dock10,0.346622635,0.899056905,0.667021619,1.444234278,1.683731187,0.663261961
Dync1li2,33.70118976,50.1093759,55.92925771,70.13574379,72.31556369,71.70630497
E030044B06Rik,0.792703414,1.496382193,0.887479339,1.918323594,2.619317504,1.048553593
E130311K13Rik,1.842888672,2.19894334,3.609286283,3.734432204,5.061367693,3.885568578
Eda2r,112.2492303,60.34350821,95.43922904,117.4613191,126.6881587,119.6205057
Eif1,447.3538666,285.6399301,514.924319,692.1785128,712.6705993,638.6531923
Enpp5,28.7001501,16.95622802,32.76341075,54.71965823,56.90267266,41.35145708
Epdr1,2.735999426,4.249042797,5.746293891,6.756483984,8.404060699,5.816206533
Eya1,4.87414216,6.147865263,11.19055282,24.29911665,25.45869674,20.86031913
Fabp3,217.896632,164.7394121,344.056283,615.7234159,814.5626669,650.1344769
Fam178b,15.91043362,13.06678183,16.89405845,30.48015551,32.33516479,29.52061133
Fgf4,178.866992,245.0216543,314.7279889,339.3726775,357.1783387,273.4376186
Fgg,1.7957543,1.307177479,4.85833834,10.12388688,10.68247022,5.84873697
Fkbp7,3.36654727,1.331485993,2.477259013,3.229418389,4.349358356,3.012721984
Fnip1,45.24843194,49.05287964,91.3978752,133.2850786,137.9941541,137.6036677
Ftl1,2656.090744,1440.133038,2177.455258,4777.459979,4883.269824,4737.077258
Fuca2,15.80782823,20.40756423,33.8652379,60.94772201,64.5299508,57.94753735
Fuom,3.81866284,5.096297798,4.464253663,6.437054136,7.517880254,6.799148206
Fxyd6,211.6703588,152.5752756,223.5920911,298.2362664,422.4536955,367.5318194
G6pc3,20.74359951,15.74066417,20.8874105,29.1324362,30.59601164,30.41361824
Gabarap,61.66795554,45.41364279,59.83285657,97.21061374,130.7960034,114.4892548
Gba,14.97969895,18.74760788,18.26841548,20.83829824,29.14773539,28.44487437
Gdf15,13.42729513,11.32469863,22.4512927,38.6144235,50.14257876,36.57035564
Ghitm,379.3472091,396.9978308,546.1140903,710.4081121,751.1934503,725.1910828
Glb1,69.67176305,48.91752819,99.01032109,128.5045334,131.875674,109.5546582
Glrb,2.067651273,6.081022998,8.318485629,9.023526631,9.443548761,7.703865479
Gm11739,3.165364124,2.850395055,2.19332535,3.579593819,5.374369907,5.368527724
Gm11832,5.099380013,6.837145395,7.145755652,11.74693725,12.42759008,11.69438467
Gm12688,5.521112395,4.989114905,4.217984009,6.593483428,7.850541181,5.034768697
Gm13453,2.192345121,1.224839554,1.726401681,2.631179278,3.390629867,3.068418409
Gm14027,0.363960069,0.666583532,1.555725891,1.972015413,1.989271618,1.205753293
Gm14042,0.21277071,0.054447137,0.250384088,0.70686282,0.821452784,0.579761932
Gm14286,2.205312846,2.282266673,2.479068883,4.41589475,4.952785968,4.640127921
Gm15816,0.536807615,0.799146835,0.700845391,1.46779605,2.015118145,1.696187799
Gm15892,0.21277071,0.451699218,0.498393578,0.997327048,1.58604142,0.942230099
Gm15964,1.627945653,2.803545798,2.252724406,3.928159144,4.21656558,2.567534512
Gm15998,0.659703154,0.544486727,0.528045161,1.366399887,1.486922142,1.366157192
Gm16015,0.578783943,0.36200401,0.556642271,1.087912629,1.426407535,1.223765042
Gm16071,1.29323672,1.787034231,2.143976684,3.043437887,3.375338268,2.728444126
Gm16206,0.560788393,0.716736412,0.476191189,1.969414434,2.315169948,2.291758513
Gm17022,3.763963498,3.218586762,3.537507546,5.389704163,5.820537014,4.875741457
Gm17359,0.21277071,0.111835211,0.108953028,0.570607509,0.584944398,0.575694478
Gm20274,0.420329547,0.487947116,0.556642271,0.947251068,1.164601658,1.125180044
Gm21691,0.322026107,0.104490772,0.303673215,0.605873588,0.853335349,0.637679273
Gm21742,0.103638586,0.265584025,0.277633322,0.737804483,0.828292523,0.51779398
Gm24303,0.346622635,0.129461326,0.081708458,0.380640814,0.699701728,0.358843846
Gm25092,1.683554569,2.287688467,1.772938145,3.163457395,4.243428079,2.371608771
Gm29017,0.314754523,0.365545651,0.612517248,1.230011496,1.638001788,1.148111216
Gm29773,2.250159146,0.902689316,0.835576521,2.197088187,3.120702274,2.458732953
Gm31718,0.452086139,0.229584123,0.495703657,1.215132578,2.066179042,1.511913076
Gm3739,1.757551873,2.001405708,2.429498393,3.397020023,3.704439452,2.532732185
Gm37444,0.16727222,0.079452753,0.164753966,0.586406089,0.602631932,0.462492882
Gm37581,2.003726689,1.321290231,2.010314029,2.666459657,3.664432959,3.342080243
Gm37795,9.560317758,17.63956853,18.23870526,22.10781833,24.53134527,17.0254571
Gm37829,3.616156008,2.430780416,3.487483022,6.925827124,7.633587402,6.937901657
Gm37983,0.554264166,0.265584025,0.496964194,0.998303704,1.270239164,1.262577375
Gm38312,20.64758651,34.88119075,43.07119721,61.36818881,75.22643072,56.43550887
Gm42547,3.957624183,5.155679433,7.893500681,8.516139706,10.21963451,8.375717309
Gm43511,0.930890949,0.666583532,0.969416834,1.400719541,2.075655649,1.324456629
Gm43597,11.23370627,16.47495351,20.07742251,32.04718891,33.47324995,26.10332869
Gm43609,1.849572263,1.056621261,1.586219889,2.499084456,3.070773202,2.308478827
Gm43737,5.162972051,4.013084887,4.749757455,6.834633893,8.571229497,8.527068854
Gm43857,1.601766947,0.924692269,0.777152549,2.054600807,2.186244921,1.592554067
Gm44117,1.327637432,1.876504996,1.940282548,4.173193537,4.863588527,2.764756196
Gm44165,0.529515004,0.713087651,1.604856612,2.437698151,3.090345573,3.055855045
Gm44722,0.054447137,0.083162635,0.674755915,0.986059339,1.0850245,1.025735269
Gm45218,0.07905604,0.108168252,0.111542477,0.462239861,0.774031728,0.251109525
Gm45847,0.459487626,0.340634805,1.80125479,6.223341108,11.79901362,6.16508966
Gm46378,1.068261241,1.088813631,1.659343801,2.686134003,4.161684897,3.511390657
Gm47639,0.58595477,0.194232843,0.166048368,0.501541345,0.665731534,0.663261961
Gm49617,0.68067135,0.455493435,0.613711458,1.397855066,1.475834935,1.349065176
Gm49886,2.767025198,0.881488497,1.807802372,2.848697916,3.167830375,2.343043386
Gm50253,1.159330133,1.403972013,1.502560119,2.464538833,2.525123619,1.542905185
Gm5225,3.051831789,3.643190636,3.882753539,5.45254,6.552470278,5.024349158
Gm5921,5.433763407,3.391857379,5.084885044,5.07005496,6.843269736,6.5524701
Gm6169,5.668399154,4.325185714,5.606303727,6.272748755,7.716121885,7.591115454
Gm6900,4.146113657,3.105342245,4.610095704,6.215477902,6.825732002,5.509163826
Gm9929,4.646122015,3.797238444,4.05347346,8.093094194,8.489883277,8.455242329
Gnpda1,140.1641228,157.0507021,216.933987,304.016443,323.1372189,269.4256448
Gnptg,9.52396119,12.83048895,15.54360511,21.87948717,23.46734153,23.16542507
Gpr19,9.616467396,14.26426031,23.01310379,28.33750273,29.4274698,26.28078976
Gpx4,423.9326836,385.8608131,512.7446787,574.6979918,723.5744483,619.861283
Gramd1b,41.87458882,47.5767009,63.61890647,91.90064737,93.71931308,81.57417994
Grm4,1.771878403,1.361092811,2.149116171,3.36879881,4.568373606,3.616848642
Gstt2,14.00611483,16.56883891,36.66722052,81.89254382,97.34669945,68.64343796
Gsx2,0.455775602,0.108168252,0.639650107,3.412078155,3.540136649,2.064793711
Gtpbp6,14.61125975,14.0375065,15.34704409,23.22085237,25.44227377,25.39659472
Hacd2,33.04825441,28.25861026,37.3781979,43.31239428,55.28560427,51.4835872
Hkdc1,1.493666,1.676713619,3.209218174,7.273987127,11.02213516,7.389897975
Hmcn2,26.49859312,16.75513352,28.85699532,37.46849349,42.63639774,31.07306779
Hmgcll1,4.25903385,3.15469403,3.851644777,4.762463451,6.222526177,5.470563035
Hook2,50.58626017,50.71902239,63.79215485,129.2862028,132.8512439,115.3579169
Hpx,0.184590569,0.079452753,0.556642271,0.678829816,0.938736467,0.360216145
Hscb,21.99232838,21.43358965,29.03594683,40.07191343,47.20917745,36.03949819
Hspa9,722.6650582,814.352997,1037.61719,1402.830619,1444.457353,1335.517652
Iah1,22.51259092,20.90507749,25.43105653,37.25834671,41.28526928,38.59260804
Ica1,6.347627089,6.669926334,9.231376809,12.35230196,12.54101761,10.84440721
Ifi30,116.7476135,54.21595758,94.49413178,173.5790608,176.6227136,145.6639835
Il12rb2,0.21277071,0.441526494,0.448951284,0.818783324,1.087708104,1.014874506
Il17b,1.929463793,1.156475607,1.228013087,2.457885705,2.686766967,1.837441665
Il23a,1.338637603,1.157226149,2.290536915,2.493373231,2.970975535,2.347193746
Immp2l,5.014050482,2.825664357,5.678826276,8.558048265,9.693837694,8.102147432
Ip6k1,107.4142757,58.19859703,90.9482018,165.3640899,185.2272866,181.4327955
Jdp2,8.728462926,20.58327659,39.35569179,42.64095177,43.83503445,43.71790205
Kazn,69.57524439,39.51998472,68.62306348,104.947173,106.6699775,98.98810925
Kcnip3,2.785719324,3.649066103,4.65581798,5.310697114,5.349649676,4.553664722
Kcnj12,1.540222234,3.374154777,3.007918434,5.729571944,6.659438788,3.203001583
Kcnk5,27.21577979,61.33026525,64.73635564,64.84204031,65.50960843,47.99270976
Khdrbs2,1.148341399,1.035092476,1.864706535,1.75448563,1.992138171,0.71855707
Kifc5b,77.96449133,46.54405624,68.3177939,90.21757888,106.1596418,93.36315996
Klf15,17.12946969,26.36180747,42.03577696,64.51106169,68.52232346,51.53849808
