gene,0h,12h,24h,36h,48h,72h
Gm21542,0,6.618739656,8.3757671,7.30993133,6.368376996,5.066069529
Gm5788,0,7.904370786,9.274764523,8.236315283,7.223887799,5.912976145
Ighv1-60,0,7.924315206,9.969620051,8.977071631,7.949835414,6.493829352
Rep.RLTR6-int.LTR.ERV1,0,2.450636166,2.963049879,2.091220863,1.456959062,1.354672266
Rep.RLTR9A3A.LTR.ERVK,0,5.165538789,4.811636217,3.593851091,2.764394855,1.611473755
Prex2,0,2.599859635,3.631675521,2.574674757,1.991364778,1.623246133
BC147527,0,7.940760461,10.68515199,9.786894467,8.615472868,7.151088612
Gm16478,0,11.06316522,11.85461426,11.29173154,10.61789247,8.8849611
Spry4,0,3.484414475,1.371390563,0.725821208,0.425332377,0.675233043
Gm20234,0,8.478037239,8.255687029,6.774668023,6.125900765,4.631702494
Gm2056,0,5.935485996,6.851591292,5.734090472,4.91188884,3.45031175
Gm6494,0,6.661677274,7.494898649,6.500216504,5.871462089,4.505088732
Gm21037,0,7.048798627,8.066477896,7.17048654,6.405527139,5.028070889
Atf2,0,1.488074559,2.186379089,1.417150148,0.961971064,0.566640254
Rlf,0,1.548324764,0.95044968,0.592552466,0.523217369,0.323937392
Gm48629,0,10.85619799,11.29702954,10.23198651,8.937054821,8.060190502
Rep.ERVL-B4-int.LTR.ERVL,0,6.639713694,7.655433793,6.610732395,5.693211604,4.893419014
D13Ertd608e,0,6.789445431,9.231358513,8.276582741,7.081084185,5.63345027
Gm2075,0,7.706990121,9.425166322,8.433653133,7.605510669,6.386941955
Gm11784,0,7.655717658,7.976329042,6.606167483,5.980021584,5.12438623
Gm38642,0,7.054072466,8.569023677,7.323488356,6.167223531,4.574017715
Slc1a4,0,2.181409465,2.919603125,2.597441589,1.920917853,1.514947171
Gm48492,0,5.793273563,7.275803004,5.88436096,5.131026179,3.97648199
Apol7b,0,6.15166223,7.037803543,5.474995035,4.629542837,3.368793903
Hpcal1,0,-1.599715864,-1.180003935,-0.830068221,-0.619253846,-0.483465702
Slc16a6,0,2.882363155,3.89460577,2.684161883,2.219136429,1.408981709
Limch1,0,3.52900997,4.640167165,3.575281052,2.822575771,2.051594832
Gadd45b,0,-1.773866323,-1.248228115,-0.840043944,-0.24802814,0.187841232
Rimklb,0,1.439567989,2.870036991,2.758243466,1.960039031,0.594182508
Gm40910,0,10.80851502,11.46731396,9.80078704,9.290158333,8.03508888
Gm7957,0,7.444501604,8.0199704,7.354935113,6.738954192,5.831273343
Arrdc2,0,-1.898541155,-1.471912044,-0.806582856,-0.607141227,-1.002073507
Gm14742,0,10.68799612,10.80317919,9.865817914,8.725180389,7.477229266
Ctf2,0,6.626230411,6.981043662,5.500155586,4.527889976,3.675700373
Gm9519,0,7.543626866,8.610576105,7.115439334,6.514622217,5.523720605
Ric3,0,2.311873851,3.40613565,2.355101661,1.890451651,1.515461428
Csrnp3,0,2.328125546,3.584616043,2.390732637,1.827234474,0.927329156
Dcc,0,8.295723948,9.411675723,7.996663594,7.464690489,5.820969828
Dyrk3,0,1.550635797,1.561942216,0.626738687,0.296287809,-0.194855641
Gm21936,0,7.50274469,9.282298222,8.298054177,7.436660725,6.28274251
Spopfm1,0,7.026426767,9.813402835,8.839238035,7.900273146,6.440328703
Gm16026,0,6.761570919,9.631374194,8.694317945,7.477842465,6.035051553
Gm7942,0,10.62439204,11.04469537,9.556310092,8.463452032,7.291414042
Tef,0,-1.36698043,-0.608625368,-0.189824072,0.189289633,0.330315467
Arg2,0,4.547415941,5.757490787,4.429091782,3.747710815,2.736187794
Rbm38,0,-1.338404785,-0.519365309,0.139732288,0.728448207,1.142717313
Gadd45a,0,-1.63665802,-1.207601317,-0.937399489,-0.566308365,-0.187255679
Ush2a,0,5.525604401,6.034076384,4.407277278,3.159705827,2.665658165
AC140365.1,0,10.55359192,10.96016876,9.563703399,8.464968556,7.91797071
Gm11543,0,10.62776547,10.4262236,9.671285676,9.397756385,8.795080898
Arsk,0,2.762524271,3.37526101,2.434812569,2.158101961,1.686222559
Plk2,0,-1.547986983,-0.385037382,-0.481896741,-0.250875135,-0.032049463
AC139347.1,0,4.800597988,5.05374823,3.597931557,1.864466112,1.357451567
Tbc1d23,0,1.44769973,1.880409146,0.808584638,0.6118776,0.323956838
AF067061,0,6.937662213,9.379062686,8.305373299,7.318646505,5.607349294
Pdgfrl,0,2.895434545,3.915793925,2.802339065,2.083237067,1.822813595
Ercc6l,0,1.82309176,1.243025664,0.713305088,0.6728596,0.080087322
Gm45659,0,8.039706646,8.840957643,7.624586415,6.802731129,5.543775736
Vmn1r88,0,8.338294968,9.62434672,8.474319985,7.479398967,6.485326799
AA623943,0,7.147289102,7.602152977,6.695516929,5.98737822,5.366416489
Gm18983,0,6.730272868,8.760757014,7.734584395,6.962809961,6.433777395
Nat8f2,0,5.4369059,7.313303029,5.926419122,4.570400987,3.419205962
Tdpoz4,0,7.166755946,10.36142937,8.791329518,8.263529535,6.988501101
Gm35974,0,7.98002322,8.793339547,6.923216155,5.944214325,4.868755367
Zscan4-ps1,0,4.979884145,5.48619773,4.897828158,4.866984183,4.234706254
Gm33680,0,8.166872565,8.755616025,7.162541781,5.831609443,5.214117723
Kdm4dl,0,6.553145789,8.112890369,7.376653612,6.531702536,5.616589756
AC123873.1,0,7.932535984,8.271505171,6.760985522,6.239507464,4.908858488
Ubtfl1,0,10.30887338,11.00126047,9.653199044,8.349616837,7.173483182
Stc2,0,2.521280833,2.428927389,1.980892953,1.763245336,1.16077052
Gm9043,0,6.788366138,7.554758701,5.604878783,4.919302347,3.582424517
Gm13964,0,7.877661686,8.361743,6.703313179,5.919930206,4.411831224
Sh3kbp1,0,2.664600174,4.223169819,2.959939217,2.179346505,1.049906569
H2-Q7,0,-1.701692067,-0.520524473,0.479670505,-0.58539382,-1.821719047
Arl4d,0,1.353563451,2.059621047,1.026276187,0.374073449,-0.447236199
Gm2027,0,7.004635162,9.035730213,7.97751611,7.1664963,6.23049567
Slc26a1,0,6.174222849,7.714483572,6.803526507,6.105241581,4.939815502
Fiz1,0,1.748575386,1.584241225,1.130121131,1.31249442,0.924900732
Gm44996,0,5.245431645,5.2936587,3.88633264,2.715471683,1.287502391
Gm43049,0,7.736509153,8.116102453,7.362598201,6.346861688,5.14831814
Map1b,0,1.359399643,1.626366806,1.219127247,0.978591065,1.668197784
Stk32c,0,2.500009397,3.499090955,2.333533074,1.325787066,0.259392508
Brca2,0,1.185232561,0.649237401,0.475381855,0.188824202,0.291739407
Trp53inp1,0,-1.26124242,-0.567972073,-0.733546534,-0.31957289,-0.314792192
BC080695,0,6.970777663,8.09426038,6.951639322,6.116880634,4.888091815
Zfp560,0,3.070183518,3.891237705,2.800765111,2.412712345,1.475633862
Gm36718,0,6.912322643,9.476487436,8.786029663,7.20931667,5.451130012
Gm33466,0,6.984235969,8.900263954,7.942594693,7.004047256,5.802936104
Zfp553,0,2.026417002,2.041611434,2.33677701,2.40396891,2.726755041
Pdxp,0,-1.395640611,-1.08852677,-1.071628432,-0.985142666,-0.881654725
Dbr1,0,1.440781657,1.811308271,1.171686514,0.81733565,0.253567879
Rbm15,0,-1.019165544,-0.721512312,-0.452839474,-0.521821202,-0.112775802
Pglyrp1,0,2.05207214,2.863323981,1.597066797,1.076573839,0.321318358
Adamts19,0,2.548725141,2.685436399,1.955806115,1.170986118,0.41878126
Gm6264,0,5.548049096,7.306322342,6.077220269,5.133721393,3.640153792
Gm1995,0,5.256941271,8.114162036,6.962344449,6.267396426,5.1794752
Mmp2,0,-1.448870774,-0.815876661,-0.644725455,-1.0770824,-1.008300071
Gm16239,0,7.425498691,8.264303634,7.112775506,5.898174642,4.82666161
Dst,0,0.964918037,1.227463889,0.970933841,0.799937571,1.278824885
Gm8607,0,6.085190383,8.579960105,7.74502939,6.47188153,5.56212569
Antxr1,0,3.094235407,4.29251323,3.326016943,2.491286073,1.846265916
Chrm3,0,9.807849853,11.33349194,10.01009362,8.920443139,7.701176448
6030407O03Rik,0,4.356394331,5.041723643,3.35641911,2.154644979,1.477571073
9130227L01Rik,0,7.480384183,7.662934605,6.666345164,5.596016859,4.730243107
Btbd2,0,-1.063889271,-0.965062682,-1.083325955,-1.228834409,-1.331766092
Gm38153,0,9.726200676,9.67140062,8.160710513,7.468179032,6.730118274
Ttc30b,0,7.396034951,9.342119795,7.994530849,7.70473245,6.515162084
Slc10a6,0,4.3131943,5.990865349,4.394702219,3.721939389,2.542069377
Meioc,0,-1.341939897,-0.501299235,-0.800007254,-1.397172706,-1.709317683
Etaa1,0,1.403096626,1.185924181,0.863554377,0.666355967,0.361917572
Gtf2b,0,1.33947775,1.389136327,0.457812083,0.149490636,-0.440556424
Unc119b,0,-0.943708409,-0.596020762,-0.327605484,0.09119564,0.130140458
4921507P07Rik,0,4.342898792,3.802621746,1.768244377,1.826253142,1.337699385
Gm11546,0,7.307368737,8.060580504,7.023359173,6.813266179,5.863804449
Gm5541,0,6.640950781,9.728178025,8.380151719,7.51647504,5.961437764
Trib3,0,1.681229174,2.67495823,2.759755472,2.266519963,1.292357744
Gm42662,0,9.769108873,9.988597909,8.928236211,7.233273501,6.613651441
Kctd12,0,1.453250805,2.438797926,2.549115984,1.760673732,0.994767064
Cd164l2,0,-2.231633732,-1.773366032,-1.189412396,-2.123024979,-2.402361227
Mapk3,0,-0.938668781,-0.869394251,-0.868291769,-0.614139062,-0.76747855
Clp1,0,1.165250534,1.395983738,0.305929707,-0.09816474,-1.03981916
Ankrd22,0,9.604995479,10.58204222,9.177359471,8.631089427,6.990882548
Gm4513,0,7.225112687,9.85755909,8.665459664,7.05477778,5.698951818
Pank3,0,-1.03548735,-0.116892795,-0.206658778,-0.26303625,-0.402679957
H2-Q6,0,-2.962248739,-1.020457114,-0.060969011,-1.335807367,-2.376326801
AC140325.4,0,7.238184583,7.76926758,6.609401738,5.779801711,5.10604272
Gm48762,0,9.715239055,10.50941799,9.371271728,8.11982189,7.085816748
Mbd5,0,1.726746992,2.954897369,1.829045073,1.308507059,0.929698886
Gm12800,0,4.660458365,5.908885608,4.896168231,4.111608687,3.497237159
Gm5117,0,7.17236058,10.13318179,9.049148498,8.211500211,6.713147342
Mdm4,0,-0.949682871,-0.55663628,-0.553895511,-0.385264909,-0.208565185
Rbbp6,0,0.967049114,0.985565653,0.639817469,0.564163587,0.243517334
AC133095.2,0,5.337000544,6.428034466,4.9682985,4.187846225,3.862406533
Rep.RLTR13G.LTR.ERVK,0,2.367570999,2.862039413,2.414110777,1.840985132,1.520033461
Zfp51,0,2.32062715,3.139457286,2.09442297,1.795093664,0.970289192
Rep.ORR1A0-int.LTR.ERVL-MaLR,0,1.029568371,1.577517371,0.879891565,0.571052273,0.389088702
Klhl6,0,9.491741152,10.18110884,9.134165633,7.99948283,7.039111696
Gm38271,0,7.143941202,8.522114083,7.394580779,6.619129451,5.277938538
1700012J15Rik,0,7.117601465,8.629666233,7.228438704,6.223064745,5.518623277
Gm9121,0,6.03128108,8.763343765,7.465304807,6.500685304,5.348733628
Fam222b,0,2.005963016,1.8651085,1.734598147,1.335086535,1.020359354
Gm6999,0,7.103409226,8.695762111,7.495930788,6.363077283,4.871865239
Zfp518a,0,1.11853384,1.149490859,1.060955274,1.309039077,1.171325712
Mgat2,0,1.933341361,1.936272115,1.058571659,0.827502218,0.609079508
Gm44693,0,9.717406695,11.20726398,10.26309079,8.447028462,6.554517148
Gm21762,0,5.404974317,8.315714675,7.136590183,6.094234838,4.705160429
Arrdc3,0,1.390405507,1.523787002,0.300835823,0.034730405,-0.834216957
Cttnbp2nl,0,1.638211909,1.224213043,1.008507528,0.500854396,0.530584599
Fundc1,0,1.327547729,2.426784759,1.244479266,0.802649737,0.289352686
Gm9124,0,9.423031396,11.14818363,10.67099565,9.717157872,8.694047251
Gm10662,0,9.324068697,11.67926153,10.51757848,8.709956818,7.254677837
AF067063,0,9.316380219,11.81400649,10.84695517,8.996368645,7.476547707
D1Pas1,0,1.905215789,2.226670728,1.575119338,1.478357329,0.872887016
AC125149.5,0,9.562297114,11.94045632,11.32252814,10.35216605,9.157256677
Mxd4,0,-1.590248995,-1.185649461,-1.447113153,-1.593297137,-2.775200601
Tasor2,0,1.121336298,0.853947659,0.412034156,0.164836256,0.384210208
Gm13360,0,9.288229255,10.40352541,9.854889945,8.548559589,7.514017382
Fgf7,0,5.600598022,7.421768543,5.600461074,5.24105745,3.705127273
Cd163,0,5.815889298,6.161741131,4.782526273,3.96327212,3.04595839
Pxdn,0,-1.093752438,-0.586751497,0.066352745,-0.577724757,-0.718180425
Gm43263,0,7.05202755,7.91268247,6.534449676,5.47730919,4.905799594
Fam43a,0,1.407143356,1.135251856,0.849137131,0.567770229,0.606761183
Nectin4,0,-1.553911265,-1.335182982,-1.374683272,-1.588534188,-2.001896577
Olfr815,0,9.199678033,10.20889661,8.946170685,8.207689835,6.482735977
Gatad2b,0,-0.846538817,-0.32566632,-0.195256723,-0.185818592,0.037310587
AU015228,0,5.354217005,8.630864643,7.82686763,5.894712405,4.503522699
Rep.RMER2.LTR.ERV1,0,1.363613258,1.697391473,1.202599825,0.762693109,0.748599826
Olfr787,0,9.393778004,10.82590192,10.07273226,8.668774082,7.731002189
Gm13694,0,6.864275109,9.136886352,8.007975423,7.230383488,5.814874929
3110056K07Rik,0,-1.715652884,-1.411241141,-0.959841737,-0.698113833,-0.314190796
Gm9621,0,9.157248944,10.09080572,9.571956793,7.870353769,7.632659371
Cul1,0,0.9325985,0.210945747,-0.213835286,0.07418701,0.182034266
Orai1,0,1.594063804,2.094626428,1.214004644,0.643535596,0.102880044
Zfp599,0,2.971859599,3.476868433,3.095549294,2.55211916,2.103319487
Gm9113,0,6.879068387,10.0828833,9.233566532,8.428028652,7.12610981
AI427809,0,2.526633453,2.532386698,1.436131216,1.517261787,0.42357868
Amer1,0,1.245769968,0.775895224,0.500616941,-0.120386352,0.187041942
C130026I21Rik,0,6.805728893,8.531193803,7.626353054,6.472679334,4.908093664
Ybx2,0,-0.9967065,-0.203151253,0.404980342,0.318955048,0.275943798
Mcm9,0,1.105410179,1.35223459,0.630349668,0.029017393,-0.037355016
Dzip3,0,1.277142891,1.309121812,0.909543736,1.143419006,1.160098625
Olfr376,0,6.743655685,9.196156201,8.551417951,7.540662453,6.31170824
Ankrd17,0,0.770529905,0.656026346,0.350825028,0.305746631,0.643089969
Zfp473,0,1.570345347,0.690127529,-0.216533743,-0.792023491,-1.289031775
