gene,0h,12h,24h,36h,48h,72h
Zmynd19,0,0.530165911,0.080064168,-0.579948124,-0.644851644,-1.003089268
Cnn1,0,-1.464948974,-1.221431246,-1.623872392,-2.076067239,-2.73309877
Prkcb,0,-1.073965886,-0.404320959,0.373856953,-0.605089733,-1.216385032
Ninj1,0,-0.599207022,-0.288909095,-0.009379056,0.28962103,-0.288130894
Arid5a,0,1.4120597,1.897417563,1.558880104,0.749226686,-0.17977382
Nlrp5-ps,0,5.190320978,5.29853609,5.307231303,5.010122617,4.413209628
Tgfbr1,0,0.660070563,0.973531504,0.861661604,0.570233625,0.384119708
Csnk1g3,0,0.59025512,0.482746066,0.161647996,-0.026566231,-0.065047867
Galnt11,0,0.931196351,0.652071477,1.032703701,0.877093751,0.825659545
Dnajb9,0,0.886711539,1.810552804,1.285035111,1.053732714,0.896610902
Fam171b,0,1.060352058,1.205704123,1.216724361,0.44977502,0.558498103
Tspan33,0,-1.02979322,-0.7476534,-0.211355947,-0.453351665,-0.675712716
Gm18204,0,7.225578479,8.994585239,8.529038291,7.356046259,7.125627442
Sytl2,0,3.689987018,3.799374048,2.935412609,2.27184141,2.241709397
Nav2,0,-0.570503155,-0.356845252,-0.147943487,-0.303377391,-0.246655969
Phactr3,0,-1.473582371,-1.059459756,-0.674026689,-1.79364932,-2.213663466
Zfp40,0,2.576262623,1.876843094,1.188905918,1.237407672,0.910337695
Dtx3,0,-0.526363545,-0.120350848,0.611744823,0.728190954,0.456119065
Zfp423,0,0.644851273,0.145750421,0.316324159,0.757377233,1.300416239
Dsel,0,0.917791245,0.662892056,0.427660591,-0.243990052,-0.065172941
Nos1,0,-0.584310078,-0.348301229,-0.217442699,-0.766794256,-0.791765716
Eef2k,0,0.70478604,0.883331565,1.157829751,1.355289495,1.479039467
Gm13034,0,2.105720898,3.566200731,3.053939245,2.452801879,1.868803421
Ppp6r2,0,-0.820468615,0.122867468,0.654744666,0.602677232,0.333481447
Mybl1,0,-0.573733429,-0.506795158,-0.345801757,-0.236659384,0.051354847
Rep.MLTR11B.LTR.ERVK,0,1.082918524,1.471273436,0.82555611,0.307606662,0.56444993
Slc35a5,0,1.202915464,1.447084307,1.434675696,1.012131722,0.553407046
Reep2,0,-0.894923181,-0.44513763,0.076915353,-0.145583061,-0.203929583
Mgst3,0,-0.537331711,-0.557289241,-0.528051587,-0.387672348,-0.762344564
Pacs1,0,-0.646117932,-0.883211735,-0.413668091,-0.612487265,-0.377621208
Lmo4,0,1.031043159,1.599486742,1.109577031,1.172565394,0.866587195
Tcl1,0,0.473654112,-0.052346213,-0.599799444,0.096377894,0.378641194
Dtna,0,-1.146129513,-0.684823297,0.326309483,-0.32754846,-0.626751272
Hivep1,0,0.859724384,0.799392439,0.809392795,0.383354296,0.632165438
Dcun1d1,0,0.743389583,0.649094147,0.236712719,0.331761691,-0.096952792
Med13,0,-0.460267969,-0.370752162,-0.351662516,-0.365020588,-0.055678823
Il17rd,0,0.549336806,0.418272299,0.457794532,0.214718696,0.353229988
Prmt6,0,0.991789314,0.522069651,0.15259931,-0.020142734,-0.032622565
Gjc1,0,0.603576806,0.520231083,0.543372857,0.300784143,0.258995995
Zrsr1,0,0.67828072,0.991966819,0.38804744,0.557453965,0.498912679
Fut10,0,0.799154895,0.31475887,-0.015602629,-0.528689097,-1.160088075
Hif3a,0,-0.802455712,-1.278534478,-1.543258902,-2.464375868,-1.910174878
Rep.MT2B1.LTR.ERVL,0,0.525405151,1.623226069,1.158124566,0.54797511,0.7914756
Nfkb2,0,-0.637780469,-0.645758322,-0.783715053,-1.08097961,-0.687208379
Spopl,0,-0.686641536,-0.366665524,-0.011627863,-0.015951373,0.005734801
Mknk2,0,-0.446263217,-0.278193494,-0.392066221,-0.358049327,-0.127971101
Specc1l,0,0.454236903,0.716481135,0.732808297,0.488843052,0.493128927
Ficd,0,1.353086964,1.883299148,1.439052164,1.031261182,0.557562726
Chd1,0,0.404470657,0.473481497,0.184832033,0.111687496,0.193978824
Cacna1b,0,-0.790243844,-0.112945416,0.435224886,-0.831195085,-1.251257998
Fbrsl1,0,-0.41548265,-0.254183816,-0.171907513,-0.113173639,-0.228172536
Cptp,0,1.829115661,1.516021521,0.968081158,0.400985722,-0.202430462
Tob1,0,-0.464232036,-0.223761661,-0.062402005,0.598972544,0.949510584
Atl3,0,0.515876756,0.533181773,0.650721503,0.682618945,0.624870044
Ubn1,0,0.529553123,1.014126722,1.389980264,1.442568438,1.298039573
Polm,0,0.774684241,-0.121824353,-0.951386542,-0.556206292,-0.111699057
Esrp1,0,-0.487452536,-0.122469884,0.311571092,0.029332621,-0.352558373
Cdk9,0,-0.460143882,-0.53296802,-0.78127333,-0.787579575,-0.831575768
Tsc22d3,0,-0.968729752,0.234732856,0.676783366,0.719345796,0.141262335
Ngly1,0,1.016556225,0.927142118,0.750706983,0.94760535,0.707613613
Qser1,0,0.527206263,0.315572598,0.233097511,0.220001523,0.22122205
Glis2,0,0.694421659,0.378168702,0.004373198,0.060900676,0.301180092
Nek1,0,0.503086136,0.486635998,0.457862273,0.221038799,-0.004649825
Dlgap2,0,2.777562382,4.09648513,3.333748656,2.686884362,2.040763912
Ednrb,0,1.648365828,1.675637706,1.991894456,1.730737762,0.970673843
Ube2o,0,-0.421746782,-0.457820899,-0.460954041,-0.604702522,-0.543507155
Msantd3,0,0.546961725,0.037520737,-0.543585818,-0.320864383,-0.441696973
Zfp36,0,1.215734643,1.01104674,0.824919673,0.726761192,1.185302585
Gpatch3,0,1.241374274,0.819171803,0.901875276,0.730955518,0.973275479
Rasa1,0,0.509877729,0.291851636,0.033321485,0.02388294,0.317115001
Gyg,0,-0.704748905,-0.194910317,-0.309180323,-0.174148924,-0.338603392
Dkk3,0,-0.688477278,-0.401407071,-0.212936753,-0.218091872,-0.268304441
Sgms1,0,0.654936972,0.547837119,0.032652901,0.082850716,0.07770897
Zc3h12a,0,0.793789655,0.150748719,0.228656604,0.130931952,0.200180106
Fkbpl,0,2.018874326,1.600125744,1.409616347,1.083561783,0.330572116
Pbx1,0,-0.749899895,-0.446422555,-0.12117036,-0.605080541,-0.636114298
Zfp689,0,1.603406922,2.165833152,1.743894384,1.484382093,0.581482716
Snai1,0,-0.998209714,0.235388978,0.240436605,0.166495267,0.837757553
Slain1,0,-0.39789907,-0.107193975,-0.174739231,-0.428569083,-0.616066066
Nos1ap,0,-1.329854813,-0.73385334,0.059492877,-0.3844328,-0.373752672
Sac3d1,0,0.65972458,0.38909625,-0.248245683,-0.687918341,-1.224525794
Chml,0,0.705111977,0.160407624,0.086717013,-0.294350128,-0.403164527
Prdm2,0,-0.436985875,-0.127049807,-0.123022135,-0.563446534,-0.527607817
Tcf20,0,0.376493083,0.003380235,-0.286398815,-0.399812934,-0.196304026
Mprip,0,-0.395429228,-0.222694764,-0.116727104,0.018840554,0.245053536
Ddhd1,0,0.526457866,0.996286887,0.661894276,0.297772948,0.416898383
Itpr2,0,-1.284613038,-0.32979492,0.93048286,0.893326597,0.225097878
Med15,0,-0.438773904,-0.397499405,-0.133018933,-0.093545379,0.225022733
Nptx2,0,-0.531482113,-0.185097293,0.015219016,-0.174253811,-0.122604753
D030056L22Rik,0,-0.442538176,-0.277752024,-0.596553692,-0.487798799,-0.728075093
Mxra8,0,-0.799902379,-0.439070097,-0.254692575,-0.468386151,-1.325185487
Bcl7c,0,-0.544637755,-0.548344872,-0.289815164,-0.161611478,-0.189487327
Nrip3,0,-1.120209994,0.220824554,0.601085345,-0.040567988,-0.236555335
Dipk2a,0,0.729365155,0.820506392,0.444473322,0.502730602,0.214850476
Gm38190,0,-1.206904585,-0.497814727,0.323660949,0.114192271,0.891930211
Angel2,0,0.480376415,0.426448449,0.627882337,0.708854851,0.773037856
Zfp623,0,0.898911635,0.842884667,0.528860136,0.377885437,0.013906523
Bicc1,0,0.994243592,1.663078937,1.485427959,1.085295582,0.855544459
Ephb1,0,3.402264109,5.855106415,4.461407738,3.588594693,2.708068259
Ecm2,0,2.022533428,3.438691569,1.880537328,0.688091712,0.618788236
Fkbp5,0,-0.393684003,-0.36645029,-0.296779106,-0.238032311,-0.061347211
Gm43088,0,2.987477687,3.891089429,2.833703344,2.590559254,2.583244293
Cfap97,0,0.682991371,0.719372801,0.015064729,-0.076687628,-0.560850719
Slc16a11,0,-1.196921976,-1.829246172,-1.859740369,-2.410143976,-2.85598158
Zfp644,0,0.501758327,0.370523745,0.524825231,0.513278655,0.207195429
Zfp979,0,0.542432502,0.26143014,-0.257515985,0.070134457,-0.249129389
Zfp791,0,1.858965599,2.339160011,1.587370256,0.558191127,-0.118755559
Casp8ap2,0,0.467988983,0.212953207,-0.014585261,-0.034759828,-0.267375695
Lpcat2,0,-1.043013901,-0.403048848,-0.412243551,-1.097066327,-1.072408404
Stat2,0,-0.440308145,-0.278384095,-0.209095734,-0.59351535,-0.810532836
Sesn2,0,0.522419621,1.415178052,1.311008317,0.939026242,0.4421094
Cdc42se2,0,-0.384247057,-0.248171024,-0.216277441,-0.288029942,-0.306476517
Fpgt,0,0.868585994,0.615599344,0.324113677,0.015732181,-0.091439777
Zfp647,0,1.384304532,0.925337985,0.575491757,0.2644065,-0.683631644
Slc45a3,0,-0.799052299,-0.202176005,-0.338775905,-0.875432746,-1.367944502
Rlim,0,-0.406893905,0.097097112,-0.096108439,-0.161045514,-0.071908743
Knstrn,0,0.501302704,-0.161698817,-0.546077569,-0.406669519,-0.404667773
Man2a2,0,-0.466226818,0.07688779,0.593042558,0.235349327,0.640535651
Ncoa2,0,0.580923231,0.332136893,0.40163017,0.556340643,0.75174267
Zbtb41,0,-0.533482955,-0.371714463,0.002022026,-0.041088124,-0.276969354
Pif1,0,-0.444578086,-0.150146736,-0.286315984,-0.200677946,-0.392353123
Gm28455,0,1.804361989,1.914734709,1.195762907,1.30319463,0.760817204
Actn3,0,-0.485773867,-1.157691137,-1.461532002,-1.788741362,-2.910611882
Camk1d,0,0.568873277,0.55862648,0.401000792,0.205046089,0.255133244
Extl1,0,-0.637959769,-0.338736549,-0.117061745,-0.757766903,-1.020362246
Ric1,0,-0.420251026,-0.279819567,-0.228594289,-0.251358455,0.056121688
Cnnm2,0,-0.449310034,0.362075103,0.44500896,0.288174489,0.635764362
Usp28,0,-0.357866572,-0.311485244,-0.580862867,-0.473658566,-0.347573413
Gm49052,0,6.790072078,10.05238863,9.377818859,7.637498862,6.481743054
Usp54,0,0.522362954,0.450189621,0.568163544,0.627095414,0.832275675
Zswim4,0,0.682663108,0.600441312,0.171183521,-0.199636266,-0.198252379
Rcan3,0,-0.497362381,0.028970248,0.143326328,-0.083794036,-0.37353309
Hvcn1,0,1.571060185,0.898140261,0.146487717,0.427656792,0.431719797
Parp14,0,1.479074756,0.585005117,0.407010891,0.116472697,-0.432665176
Evl,0,-0.513776355,-0.006715291,0.351875806,0.055282001,0.144797212
Zfp142,0,0.524754558,0.336580257,0.549777098,-0.003221108,0.261413409
Mir6236,0,-1.020922126,-0.974492077,-1.102241721,-0.907366644,-0.936054594
Fmnl3,0,-0.542914352,-0.15866802,0.020294623,-0.209019497,-0.389472022
Gpx6,0,-1.578069246,0.808640936,1.927848125,2.095658035,1.108624157
Zfp367,0,-0.599217114,-0.193771505,0.099718755,0.235194867,0.436718
Sort1,0,-0.468474787,-0.032434141,0.391910339,0.431048619,0.271314646
Sec16a,0,0.449182154,0.523498553,1.026893072,0.794945831,1.181374872
Secisbp2l,0,0.481797904,0.501674069,0.389835241,0.295850323,0.079499954
Dtx2,0,-0.573905534,-0.660791765,-0.761163974,-1.019113832,-1.296553291
Cfh,0,3.215119219,3.974421692,2.807891191,2.04625109,2.01533339
Jag1,0,-0.894013388,-0.702712695,-0.625309957,-1.315306236,-1.321590241
Fmn2,0,-0.600732058,-0.099838824,-0.383281708,-0.523157924,-0.017423106
Shroom4,0,0.600006491,0.060774069,0.096991947,-0.176632687,-0.17380992
Lrrc49,0,0.814432351,-0.250181222,-0.7545737,-0.531258745,-0.080179252
Agtpbp1,0,0.477002272,-0.009700637,-0.118708053,-0.149283682,-0.019941835
Nr2c2,0,0.639256287,0.639891837,0.567048089,0.293891236,0.459428265
2310022B05Rik,0,-0.437641636,-0.608504789,-0.513735315,-0.667700874,-0.664879315
Myo1d,0,-0.751367937,-0.551445366,-0.19618134,-0.209864211,-0.02205609
Flrt2,0,1.537073861,1.925121762,1.759364413,1.49976993,0.902684913
Pikfyve,0,-0.35116304,0.134684839,0.430716989,0.701014364,0.657647757
Ccsap,0,0.882898741,0.953691734,1.230791667,1.37848606,0.939655085
Zfp775,0,1.140930482,0.88701583,0.900043247,1.030815406,0.616872764
Rmnd5a,0,-0.341610034,-0.147656606,-0.244580729,-0.294436589,-0.225690119
Evi5,0,0.431380139,0.164386136,0.19313966,0.383459812,0.21922848
Zfp983,0,1.504586795,1.234173889,1.083102792,1.039725327,0.885948676
Mest,0,0.423731394,0.079901197,-0.295581618,-0.170554094,0.251768538
Sdcbp2,0,0.853434847,-0.181596996,-0.37642552,0.040212548,0.092437744
Plekho2,0,-0.702751043,-0.647682745,-0.906193931,-1.492064504,-0.955941238
Epc2,0,0.562805324,0.508175142,0.495270122,0.588611441,0.665203288
AU015836,0,0.43146362,-0.163437067,-0.907535773,-0.727592219,-0.705803178
Riox1,0,0.75133833,0.871196142,0.763188302,0.466695211,0.098702106
Ift81,0,0.660823417,0.395450508,0.216609304,0.161760862,0.498616867
Rnf141,0,-0.469000934,-0.116735164,-0.095555879,-0.164562646,-0.021165732
Prrx2,0,-0.817598166,-1.013317945,-0.831844261,-0.841840576,-0.951767701
Esco1,0,0.510550544,0.292147284,-0.0797518,-0.084306441,-0.125397921
Ilrun,0,-0.337448327,-0.311425036,-0.312604748,-0.42078783,-0.275447312
Prdm1,0,1.185528057,0.890362582,0.83738165,1.461117179,2.436489115
Castor2,0,-0.663463732,-0.448182301,-0.412775433,-0.630340792,-0.77114562
Rep.RMER17B2.LTR.ERVK,0,0.762795085,0.946936882,0.839390885,0.62434446,0.724690732
BC037704,0,1.246081497,1.799671078,1.646331442,0.850452695,0.284818991
Bcas1,0,-0.586471903,-0.427165614,-0.898761368,-1.279871982,-1.917640471
Crebl2,0,0.746812522,0.892836599,1.037543148,1.053998723,0.228050159
Rfx7,0,0.432406096,-0.024073308,-0.146987134,0.205381892,0.276870748
Gne,0,-0.539920076,-0.304208565,-0.196115733,-0.105306793,-0.479248724
Utp14b,0,-0.367180294,-0.108919981,-0.70854793,-1.392411504,-1.354256857
Trps1,0,0.702192697,0.414940846,0.66831,0.783589085,0.996894689
Dut,0,-0.346557377,-0.616714689,-1.16710202,-0.922447258,-1.179334858
Iqca,0,-1.13546657,-1.155394098,-1.404455911,-1.930633063,-2.353737616
4931406P16Rik,0,0.495339345,0.537956059,0.67651999,0.097291465,0.170572846
Arhgap33,0,-1.043786087,-0.608643942,0.003168176,-1.121710764,-1.188380442
Lipo3,0,1.634313118,1.611563498,1.40000178,0.999598506,0.882578843
Mtus2,0,0.851930841,0.841880029,1.082884677,1.080666679,0.572342852
Plac8,0,-0.526626814,-0.784406837,-1.331962594,-1.217254089,-2.079793121
Ppp1r13b,0,-0.463157272,-0.261902807,-0.318197554,-0.667029989,-0.682313842
Axin2,0,1.091793109,1.737974876,1.88849252,1.534702634,0.667583404
Zfp628,0,1.484166027,1.872728657,1.579560973,0.628361914,0.537606943
Shtn1,0,0.857453288,0.739481381,0.987809179,0.828319308,0.928084974
Psd2,0,-0.981957763,-0.284168361,0.120516459,-0.508178878,-0.732491576
Abcb9,0,-2.018396328,-0.359682187,-0.287489649,-1.039351363,-0.676527909
Socs1,0,-0.899694805,-0.165210778,-0.352079531,-0.613373127,-1.103188441
Rragc,0,-0.506800693,0.161179261,0.80186797,0.957126733,0.934228718
Usp27x,0,0.778769386,0.611537608,0.388325339,0.30008108,0.251760149
Pcnx,0,-0.4170141,-0.144345899,0.277797853,0.269415416,0.775438813
Rab21,0,-0.438027452,0.205720566,0.387654647,0.300951554,0.189861313
Dner,0,-1.353985365,0.750792126,0.890631536,1.07267737,0.992253887
Sh3pxd2a,0,0.513158259,0.403208675,0.610833025,0.334794975,0.471878958
Zfp54,0,1.497337368,1.110057629,1.014193403,0.118400767,-0.0630956
Rep.RMER19C.LTR.ERVK,0,1.057895193,2.05377243,1.292666741,0.974637849,1.313038789
Efnb2,0,-0.929380788,0.406924457,0.235358003,-0.180925617,-0.861532035
Kbtbd7,0,0.779064701,0.702509306,0.631451187,0.137483676,-0.036757339
Gm8016,0,6.516940715,10.55298342,10.47904736,9.071234342,7.936650343
Cry2,0,-0.477548423,-0.193400256,0.171621043,0.054783738,0.154174284
Mtmr14,0,-0.401648418,-0.28897762,-0.810411766,-0.643249363,-0.507100897
Fyn,0,-0.439813751,-0.012535842,0.050241182,-0.03791578,0.165879675
Jak1,0,-0.369199228,-0.252786003,-0.40253808,-0.390231341,-0.20680493
Mesp2,0,-1.097623457,-0.656834422,-0.309954396,-0.431827774,-0.494792625
Nlrp4f,0,0.473242554,-0.370240442,-0.622735307,-0.609705942,-0.894251723
Arhgap39,0,0.466698365,0.283928719,0.245780733,0.323195224,0.180390825
Rragb,0,0.463499744,0.349153091,0.762193765,0.657342355,0.345546221
Hspa2,0,-0.807746137,-0.218751729,-0.32315495,-1.086004152,-1.507081269
Klf7,0,0.622801201,1.170826116,1.332941362,1.028282291,0.717663215
Fcho1,0,-0.407409479,-0.444807479,-0.399181855,-0.522006655,-0.331644988
Foxk1,0,-0.52020998,-0.169887255,0.583801183,0.763613997,1.119954585
Rpgrip1l,0,0.657208765,0.298503461,-0.335570073,-0.30946005,-0.484543275
Myo5b,0,-0.991900889,0.074054937,0.345337105,-0.402443431,-0.449411214
Acsl1,0,-0.391556565,0.019431596,0.112876952,0.547861242,0.611997411
Senp6,0,0.388508553,0.134445036,0.282750925,0.643252107,0.852698838
Rwdd2a,0,0.831979384,0.829019766,0.237122426,0.007101557,-0.999123746
Rictor,0,-0.351674514,-0.189810173,0.190921003,0.285368947,0.579929508
Phf12,0,0.382936933,0.274415733,-0.067164965,-0.338865837,-0.509283011
Pnma3,0,-2.90143849,-2.41045299,-2.215702959,-3.138506462,-2.692002761
Prrg1,0,1.380281515,1.15009438,1.012165805,0.827271598,0.817884647
Nrros,0,1.292992849,0.372852942,-0.197266167,0.117239069,0.22853089
Birc3,0,1.403783782,0.153030818,-0.341397146,-0.548249459,-0.774696059
Prickle3,0,0.874110745,0.429178169,0.966407012,0.755031832,0.944945765
Fam135a,0,0.436177526,0.390022739,0.390002179,0.288436502,0.419637212
Abca13,0,1.698802837,2.234774044,1.26240604,1.045686492,0.269213948
Scoc,0,-0.526750043,-0.376955829,-0.47219006,-0.265590802,-0.526148106
Qpctl,0,0.82199637,0.807003129,0.325432141,-0.169213727,0.250843118
Caskin2,0,0.669590088,0.709439024,0.495220112,0.144361725,0.124557662
Klhl8,0,-0.524743963,-0.398017188,-0.350392303,-0.456220023,-0.734566574
Cpeb1,0,-1.033895378,-0.009353219,0.970338825,0.990871221,0.899912104
Pacsin1,0,-0.596799938,0.117715029,0.2412537,-0.301269974,-1.339284231
Efcab6,0,-1.810762584,-0.938695401,-1.195479203,-3.575160052,-1.604089809
Pan3,0,-0.4208803,-0.306935374,-0.036253457,0.196899056,0.434714807
Pcnx4,0,0.578048294,0.10567636,-0.038715699,-0.090467767,-0.09091144
Tigd3,0,1.303283388,1.407927082,0.684254971,-0.888439246,-1.003868671
Med29,0,0.743032357,0.380371758,-0.136095319,-0.004373298,-0.186074988
Mettl9,0,-0.42154902,-0.353170625,-0.399128739,-0.142583543,0.034030602
Midn,0,0.412182572,0.156426468,0.082899642,0.059402411,0.328267607
Brpf1,0,0.412806706,0.45166301,0.38189383,0.291120759,-0.024692022
Dbndd1,0,-0.885296901,-0.173335678,0.293045098,-0.241854313,-0.248665347
Cyp7b1,0,3.292611103,3.144517771,3.00765103,3.91059617,2.703968379
9330159M07Rik,0,1.258628635,0.973295785,0.677016389,-0.029905037,0.045172952
Pik3cd,0,-0.481352333,-0.50079557,-0.525068459,-1.161442434,-1.502806454
Susd1,0,-0.692736845,-0.243381078,0.943614963,0.741726503,0.51408369
Smco4,0,-1.179406312,-0.298499771,0.468292831,0.452976338,-0.244700725
Tec,0,-0.886299109,-1.096892078,-1.094409543,-1.936603718,-1.23719558
Bcar3,0,0.498708637,0.19897484,0.001249353,0.110225962,0.069414405
Pla2g7,0,0.85279066,0.550600482,0.323860295,1.190032457,1.888867166
Zfp513,0,0.649380904,0.824491207,0.846391258,0.412489331,0.101173542
Dmrtb1,0,-1.06546213,-0.005286895,0.636346433,0.278582222,0.342206691
Spata21,0,-1.668806482,-0.958149356,-1.17985388,-2.848059027,-2.812270084
Zfp981,0,0.760962354,0.7206798,0.564912715,0.580814786,0.018316386
Cage1,0,2.431256459,2.210896234,1.757425765,1.874060828,1.029551902
Tspyl4,0,1.433649712,1.968464085,1.102760186,1.070790827,0.248048678
Rep.LTRIS4A.LTR.ERV1,0,0.619841717,0.998286182,0.634261917,0.263299223,-0.329925394
Ccser2,0,-0.371724095,0.16109414,0.333884453,0.281749531,0.284133551
Cd55,0,-0.595413467,-0.281602003,-0.121789643,0.23400726,0.847852338
Lgi2,0,-0.852188777,0.115086796,0.960623969,0.298152554,-0.390153141
Zbtb5,0,0.614641116,0.678287823,0.763897733,0.547414633,0.17052602
Angel1,0,-0.368283572,-0.190184957,-0.059469726,-0.243655389,-0.19700401
Rep.ORR1A0.LTR.ERVL-MaLR,0,0.403855546,0.770836409,0.518663125,0.216791194,0.420828975
Rbsn,0,0.423755276,0.397772167,0.261556559,0.216055734,-0.020024951
Prcc,0,-0.356236824,-0.375216297,-0.551763761,-0.627110122,-0.792656313
Fbrs,0,-0.444306379,-0.095592078,0.044714896,-0.093256277,0.09272544
4931406C07Rik,0,-0.384189793,-0.38376866,-0.742466855,-0.469362958,-0.639824088
Pou4f1,0,0.484336034,1.179663343,1.111958802,0.626287589,0.309262887
Tbc1d32,0,0.524906199,0.394933975,0.183413215,0.116858303,0.198900606
Arhgef12,0,0.342315931,0.452759578,0.595314065,0.426536684,0.499628756
Smim14,0,-0.392434369,0.010053816,0.358843623,0.547857529,0.454059043
Msrb1,0,-0.370636839,-0.634587781,-1.350165194,-1.180435125,-1.439887083
Zfp46,0,1.631779503,1.578525886,0.945495721,0.255783447,-0.162608474
2900093K20Rik,0,-0.908848272,-0.411314921,0.051376227,0.154665528,-0.061929825
Bicdl2,0,-0.866957977,-1.118794139,-1.641300011,-2.316049378,-2.961160199
Casp3,0,-0.338157475,-0.103670225,-0.886522176,-0.530260252,-0.449829713
Plcd4,0,-1.083098908,-0.732642522,-0.019541503,0.066622294,0.132274693
Rph3al,0,-1.20579985,-0.246023043,0.186052921,0.250070264,-0.209033419
Tsks,0,0.856539998,-0.068122979,-0.801983082,-0.426326586,0.076025052
Phf8,0,-0.386163572,-0.358219414,-0.065158928,-0.100989335,0.065743093
Pnp2,0,0.582047964,-0.299721028,-1.765406876,-1.482427066,-1.487217065
Pds5b,0,0.348077508,0.104644953,-0.121202614,0.027561393,0.048994432
Hmgn3,0,0.571523255,0.914744966,0.32503015,0.418953338,-0.142037075
Rep.RLTR9A.LTR.ERVK,0,0.698192355,0.72361926,0.398554344,0.38411113,0.204500345
Stk36,0,-0.693606543,-0.115863253,0.245684937,-0.488516588,-0.384848611
Dennd2a,0,0.406511376,0.090369714,-0.001488571,-0.173749254,0.08666967
Rab3gap2,0,-0.325525976,-0.165448266,-0.003409013,0.176653106,0.324621956
Mmd,0,-1.099747817,0.281232374,0.633216719,0.331750897,-0.133953679
Pld2,0,-0.635367951,-0.634036215,-0.628749264,-0.986453107,-0.667586213
Fbxo45,0,-0.368624202,-0.060717722,-0.107861065,-0.183452149,-0.386176318
Ttc37,0,0.320053273,0.299831381,0.047389854,0.158815077,0.170095131
Rhpn2,0,-0.437962518,-0.745763735,-1.079725668,-1.260216185,-1.448978638
Map2k4,0,0.368823835,0.231890343,0.021955413,0.300618362,0.278465261
Gm9958,0,1.494847715,1.369978116,0.555240308,0.862066393,-0.273937068
Erc2,0,-0.709179896,-0.352466309,-0.677721454,-0.448226231,-0.49224637
H2-Q5,0,-1.811051946,-0.653135211,0.722587441,-0.495529138,-2.433397905
Slc52a2,0,0.573700878,0.619832229,0.07754443,-0.407552702,-0.192744718
Fchsd2,0,-0.436213988,-0.260539651,-0.08213707,0.036465801,-0.33774669
P3h1,0,-0.355082296,-0.286307363,-0.304209751,0.016886239,0.316012996
Dpy19l3,0,0.54281837,0.340237368,0.022946165,-0.061537796,0.07582713
Natd1,0,0.460211567,0.77217738,0.620769032,0.357005076,0.489074757
Laptm4b,0,-0.31254497,0.209013354,0.599190825,1.008157784,0.852243008
Mid1ip1,0,-0.367116017,-0.195040167,-0.452512672,-0.672495418,-0.812666269
Tcaf1,0,0.609064743,0.597035593,-0.162344969,-0.087330424,-0.374773268
Dazl,0,0.468277127,0.479571912,0.270753116,0.417219405,0.644693879
Pom121,0,-0.394108722,-0.306867348,-0.090372317,-0.17079777,0.124348142
Snx9,0,0.499229674,0.55376523,0.791543564,1.324619585,1.418419398
Fbxo8,0,0.465511856,0.238633012,-0.389738996,-0.005052234,-0.267079331
Trank1,0,-0.913729037,-0.131431919,0.988178808,0.587878482,0.540579045
Tmem201,0,-0.324654883,0.221161658,0.701641815,0.916433521,1.143878784
Cpd,0,-0.374138203,0.109087267,0.302819332,-0.005326215,0.150164266
Cggbp1,0,-0.296599827,0.111387037,-0.140175036,-0.087842869,0.222092666
Ablim3,0,-1.120419752,-0.04607982,0.241148802,-0.674582399,-1.097027915
Lrrc28,0,-0.458224661,-0.09653653,-0.097109494,0.260099935,0.155327532
Moxd1,0,-0.746698319,0.224392407,0.978163876,1.151479961,0.965999705
Stc1,0,0.818255265,-1.474800628,-4.731159115,-6.595266907,-9.082377763
Rubcnl,0,-1.636803407,0.223515594,0.96039478,0.218982607,-0.406661159
Ankrd52,0,-0.434462549,-0.41035447,0.277731037,0.174977159,0.463660368
Pde3b,0,0.629044835,0.657735798,1.066412794,0.856410794,0.558698329
Cpeb4,0,-0.592775746,-0.03185579,0.134990717,-0.08109588,0.276983751
Usp16,0,0.383397363,0.088107955,-0.297846504,-0.285095312,-0.161651996
Stk26,0,0.462316533,-0.130326696,-0.338284335,-0.175743536,-0.433182457
Anks1b,0,-1.62775264,-1.272278855,-0.68209585,-0.248186516,0.58970669
Rnf11,0,-0.396518126,-0.096307973,0.13919604,0.245481313,0.2475094
Rttn,0,0.368172668,-0.009911902,-0.40680586,-0.345759111,-0.109072391
Rep.Lx2B2.LINE.L1,0,1.019697846,1.603415173,1.254072528,0.256877068,-0.000843527
Akap17b,0,0.586956433,0.325452672,0.514762843,0.064973644,-0.176864507
Ezh1,0,-0.333433607,-0.367673229,-0.178869348,-0.106170649,-0.338727216
Gm14276,0,0.976978952,1.266438237,1.390767711,1.488276588,0.680941266
Cd24a,0,-0.447411179,-0.457779166,-0.181471735,-0.086997073,-0.010499111
Rnpc3,0,0.428663463,0.435961691,0.324060279,0.307050839,0.461090196
Zfp113,0,1.051926327,1.279206057,0.860680728,0.55037504,0.333125887
Ttc3,0,0.291660435,0.215843523,0.586321639,0.669745485,0.770298083
Lbh,0,-0.822374199,-0.522222725,-1.072023064,-2.053838848,-2.430354798
Angptl2,0,-1.327070087,-1.307036112,-1.386375954,-1.648939296,-1.14575844
Fam220a,0,-0.345395847,-0.184788452,-0.268460322,-0.453352888,-0.705661365
Lsm14b,0,-0.322605419,-0.06923025,-0.082712807,0.009990791,0.108851639
Mbtps2,0,0.358389401,0.428400036,0.428589196,0.763817032,0.805044862
Hdc,0,1.784683488,1.978965674,1.012431068,0.697247088,-0.118262519
