TE,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Rep.ORR1D-int.LTR.ERVL-MaLR,1641,-1.967549556,-0.847937379,8.862866208,0.019539603,0.086443829,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MLTR73.LTR.ERV1,13493,-3.028991463,-2.218733861,8.75679454,0.020054415,0.08766978,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.IAPLTR2a.LTR.ERVK,188646,-0.621595268,3.049718501,8.461966204,0.021579838,0.091622975,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.Lx7.LINE.L1,23297,1.175987986,1.325650874,8.459863667,0.021591242,0.091622975,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR30D_RN.LTR.ERV1,15757,0.786250754,2.974631992,8.41763611,0.021821936,0.092178706,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR9D.LTR.ERVK,221926,0.602022607,3.995410347,8.341431655,0.022246323,0.09316328,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR44B.LTR.ERVK,38732,-0.892627813,0.933813441,7.793121483,0.025635471,0.101532498,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR20B5_MM.LTR.ERVK,202901,-0.661959869,2.985300217,7.66031808,0.026554642,0.103707641,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.L1_Mur1.LINE.L1,146611,2.285497367,-1.935699175,7.613023796,0.026892201,0.104405308,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RMER17D2.LTR.ERVK,485061,-0.665618944,2.954680357,7.584842835,0.027095969,0.104886494,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR9A.LTR.ERVK,108221,0.599719626,3.116866932,7.507212989,0.027667658,0.106103094,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR53B_Mm.LTR.ERVK,15572,1.006117901,0.696843784,7.484118369,0.027840725,0.10658076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MLT1G.LTR.ERVL-MaLR,16323,-1.457126847,-1.196834143,7.141556264,0.030579588,0.11304285,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR20A2B_MM.LTR.ERVK,107392,-0.655177938,1.753375395,6.836403211,0.033318521,0.119064297,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR12B2.LTR.ERVK,27102,-0.873561047,0.528047656,6.704579488,0.034599502,0.121799286,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MURVY-int.LTR.ERV1,1796229,-2.630773131,-2.08160174,6.621980082,0.035434652,0.123460811,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.LTRIS_Mus.LTR.ERV1,396857,-0.471171678,5.259931051,6.472543091,0.037012869,0.126709257,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR20B3A_MM.LTR.ERVK,147981,-0.642747408,2.983461755,6.444861031,0.037315125,0.127453431,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR1C.LTR.ERV1,26741,-0.712529128,1.091271624,6.406762995,0.037736345,0.128412297,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MLTR31D_MM.LTR.ERVK,56023,-0.957886573,0.581528016,6.028542751,0.042271121,0.137097468,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR41A2.LTR.ERV1,29704,-0.812353091,1.293673907,6.023956778,0.042330316,0.137247107,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.U6.snRNA.snRNA,104188,-0.684709214,2.772598751,5.980719394,0.042893725,0.138263536,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.ORR1F.LTR.ERVL-MaLR,688234,-0.540614943,4.662594333,5.834449717,0.044873169,0.142116394,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.ERVL-B4-int.LTR.ERVL,5335,1.104756879,-0.915086597,5.789710131,0.045502163,0.14333113,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR31A_Mm.LTR.ERVK,53011,-0.729991839,0.973737172,5.693985735,0.046886796,0.146029794,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR31_Mur.LTR.ERVK,103788,-0.661204034,1.821048382,5.65350498,0.047488761,0.147104749,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.ETnERV2-int.LTR.ERVK,25065,1.021274294,0.687038698,5.578534041,0.048630318,0.149267023,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RMER19B2.LTR.ERVK,276249,-0.536296177,3.345544959,5.530577885,0.049379235,0.150689454,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR13C1.LTR.ERVK,154694,-0.535348595,2.606573863,5.473149692,0.050295876,0.152600693,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR1A2_MM.LTR.ERV1,50386,-0.524390518,3.805419017,5.385175225,0.051743359,0.155244845,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.LTR16B1.LTR.ERVL,17075,-0.807472958,0.255948518,5.167790998,0.055559403,0.162248276,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.LTR53.LTR.ERVL,19585,-1.749494201,-1.914481616,5.161496602,0.055675259,0.162338553,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR13D3A1.LTR.ERVK,210544,-0.500574776,4.180732571,5.138730941,0.056096917,0.163047904,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.Lx4A.LINE.L1,78440,0.953567704,-0.646143636,5.101269555,0.056799845,0.164205603,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.LTR33.LTR.ERVL,31213,-1.104491174,-0.224324712,4.931142497,0.060140317,0.169992571,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR20B2.LTR.ERVK,213819,-0.582480908,3.11352366,4.900322378,0.060772614,0.171309018,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.ORR1B1.LTR.ERVL-MaLR,228131,-0.452013792,4.115151254,4.807919587,0.062720963,0.174901553,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MLT2B1.LTR.ERVL,13765,1.262478027,-1.786633421,4.772809388,0.06348259,0.176241621,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.IAPEY3C_LTR.LTR.ERVK,107122,-0.583801837,1.307346317,4.667442754,0.065841857,0.18056266,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR8.LTR.ERVK,43706,-0.648967183,0.832426407,4.662908002,0.065945941,0.180777352,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR13G.LTR.ERVK,125080,0.860205769,1.410423704,4.601990019,0.06736521,0.183541339,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MLT1F2.LTR.ERVL-MaLR,44840,-0.873033388,-0.586169297,4.584560764,0.067778599,0.18426348,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.4.5SRNA.scRNA.scRNA,55821,-0.436418258,3.78916166,4.514334074,0.069478199,0.187237557,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR13D1.LTR.ERVK,25357,1.005712422,-0.258825416,4.432970573,0.071517625,0.190885479,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MTA_Mm.LTR.ERVL-MaLR,47316,-0.608719389,2.70400039,4.351334287,0.073643247,0.194595523,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR10.LTR.ERVK,94043,-1.07159946,-0.414804247,4.341456563,0.073906016,0.195069201,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RMER12C.LTR.ERVK,32590,0.677004903,0.758907017,4.339720307,0.073952331,0.195153253,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RMER21A.LTR.ERV1,124628,-0.448959657,3.362980284,4.17409981,0.078550716,0.203012549,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.IAPLTR2_Mm.LTR.ERVK,597889,-0.413364201,4.538603943,4.125502549,0.079970768,0.205604188,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR9E.LTR.ERVK,403819,0.425400139,6.253326869,4.116413302,0.08024009,0.206044633,0_vs_12,ZfpOE,0_vs_12_ZfpOE
