gene,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Kcnt1,9499,0.459663203,0.362429224,1.515214901,0.228270363,0.319922742,0_vs_24,DuxOE,0_vs_24_DuxOE
Net1,5217,-0.087973246,5.651816599,1.514635421,0.228357113,0.320011701,0_vs_24,DuxOE,0_vs_24_DuxOE
Klk11,1467,0.216670901,2.547936114,1.514569762,0.228366945,0.320011701,0_vs_24,DuxOE,0_vs_24_DuxOE
Sall2,5433,-0.29530718,1.727973299,1.514060579,0.22844321,0.320072167,0_vs_24,DuxOE,0_vs_24_DuxOE
Rhbdl2,3070,0.386969013,0.803984407,1.513671665,0.228501483,0.32013061,0_vs_24,DuxOE,0_vs_24_DuxOE
Susd2,3435,0.114063438,4.576123328,1.513207207,0.228571099,0.320204936,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm49207,279,-0.543037634,-0.018126868,1.512811462,0.228630437,0.320252022,0_vs_24,DuxOE,0_vs_24_DuxOE
Chn1,6365,-0.144240996,3.784400944,1.512669752,0.22865169,0.320252022,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm5134,3128,0.210734854,2.695668588,1.512651608,0.228654411,0.320252022,0_vs_24,DuxOE,0_vs_24_DuxOE
Ppp2r3d,4538,0.189681915,3.010998676,1.512411849,0.228690374,0.320279188,0_vs_24,DuxOE,0_vs_24_DuxOE
Galnt4,5089,-0.2043999,2.69967358,1.511798431,0.228782419,0.320373,0_vs_24,DuxOE,0_vs_24_DuxOE
Snx32,3554,0.263470101,2.196820231,1.51174455,0.228790506,0.320373,0_vs_24,DuxOE,0_vs_24_DuxOE
Zbtb48,3199,0.125034329,4.276940526,1.511223004,0.228868804,0.320459428,0_vs_24,DuxOE,0_vs_24_DuxOE
Gsk3b,9831,-0.088488678,5.758789164,1.510684375,0.228949703,0.320549483,0_vs_24,DuxOE,0_vs_24_DuxOE
4930405A21Rik,1137,-0.934133782,-1.349782748,1.510433739,0.228987359,0.320578986,0_vs_24,DuxOE,0_vs_24_DuxOE
Mapk4,5400,0.277381551,1.981284455,1.509535731,0.229122342,0.320744731,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm7600,785,0.74705717,-0.885372738,1.509232335,0.229167969,0.320785373,0_vs_24,DuxOE,0_vs_24_DuxOE
Coro6,3011,-0.386206017,0.910683599,1.507405864,0.229442888,0.321146946,0_vs_24,DuxOE,0_vs_24_DuxOE
Pdcd11,9756,0.067430443,7.338768941,1.50679552,0.229534849,0.321252402,0_vs_24,DuxOE,0_vs_24_DuxOE
P2rx2,2574,0.295334046,1.681970007,1.506234962,0.22961935,0.321347401,0_vs_24,DuxOE,0_vs_24_DuxOE
Sntg2,3410,0.670973017,-0.452456699,1.5048939,0.229821664,0.321607253,0_vs_24,DuxOE,0_vs_24_DuxOE
Prob1,4888,0.453290536,0.4926,1.504665605,0.229856127,0.321632196,0_vs_24,DuxOE,0_vs_24_DuxOE
9530051G07Rik,4414,-0.803833436,-0.922530591,1.503345356,0.230055558,0.32187823,0_vs_24,DuxOE,0_vs_24_DuxOE
Tpd52,7487,-0.070650852,7.161067515,1.503281173,0.230065258,0.32187823,0_vs_24,DuxOE,0_vs_24_DuxOE
Rapsn,1802,-0.458139417,0.464853741,1.500833307,0.230435616,0.322373056,0_vs_24,DuxOE,0_vs_24_DuxOE
Gda,6235,0.833884446,-1.16284282,1.500615271,0.230468641,0.322395925,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm32468,1076,0.849808406,-1.162952613,1.50035347,0.230508302,0.322401947,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm49027,1956,0.849808406,-1.162952613,1.50035347,0.230508302,0.322401947,0_vs_24,DuxOE,0_vs_24_DuxOE
Rasgrp1,5600,-0.329868401,1.259901667,1.500224541,0.230527837,0.322401947,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm11425,498,-0.856370272,-1.253400805,1.500146537,0.230539657,0.322401947,0_vs_24,DuxOE,0_vs_24_DuxOE
Fam71f2,1276,-0.397668733,0.837597706,1.500016639,0.230559343,0.322406152,0_vs_24,DuxOE,0_vs_24_DuxOE
Armc8,6531,-0.088890403,5.658777868,1.499361586,0.230658645,0.322521683,0_vs_24,DuxOE,0_vs_24_DuxOE
Htra2,2946,-0.122654858,4.316334362,1.498645932,0.230767195,0.322634624,0_vs_24,DuxOE,0_vs_24_DuxOE
Cd2,1741,0.723157507,-0.715237592,1.498609006,0.230772798,0.322634624,0_vs_24,DuxOE,0_vs_24_DuxOE
Gjb1,1707,-0.429206997,0.573806658,1.495623903,0.231226283,0.323245247,0_vs_24,DuxOE,0_vs_24_DuxOE
0610033M10Rik,1102,0.900114572,-1.400016008,1.494454362,0.231404261,0.32347066,0_vs_24,DuxOE,0_vs_24_DuxOE
Shisa4,2418,-0.237825238,2.514985821,1.493628459,0.231530048,0.323623091,0_vs_24,DuxOE,0_vs_24_DuxOE
Ccdc17,2634,-0.728342027,-0.780869297,1.493472192,0.231553857,0.32363297,0_vs_24,DuxOE,0_vs_24_DuxOE
Abhd10,3710,0.121492722,4.322977295,1.491289,0.23188682,0.324074907,0_vs_24,DuxOE,0_vs_24_DuxOE
Naa15,15427,-0.067651013,7.302736054,1.490968903,0.231935689,0.324119772,0_vs_24,DuxOE,0_vs_24_DuxOE
Plp1,5551,0.276997727,1.951763703,1.490493488,0.232008295,0.324186393,0_vs_24,DuxOE,0_vs_24_DuxOE
Ifnar2,3329,0.192925078,2.898178495,1.490437132,0.232016903,0.324186393,0_vs_24,DuxOE,0_vs_24_DuxOE
Mrpl15,8487,0.077466985,6.712209385,1.490236414,0.232047567,0.324205805,0_vs_24,DuxOE,0_vs_24_DuxOE
Timm10b,3582,-0.279897902,1.717271395,1.490095355,0.232069119,0.324212484,0_vs_24,DuxOE,0_vs_24_DuxOE
Tmem151a,4807,0.242001592,2.403592296,1.487797581,0.232420554,0.324679993,0_vs_24,DuxOE,0_vs_24_DuxOE
Epn3,4067,0.672254474,-0.592822863,1.487562736,0.232456511,0.324706757,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm20731,2288,-0.817231272,-1.037311192,1.487325939,0.232492773,0.324733944,0_vs_24,DuxOE,0_vs_24_DuxOE
Prpf4b,8430,-0.070459469,7.388463488,1.486460336,0.232625389,0.324873475,0_vs_24,DuxOE,0_vs_24_DuxOE
Larp1b,8366,0.124032218,4.337201891,1.48627494,0.232653805,0.324888442,0_vs_24,DuxOE,0_vs_24_DuxOE
Kat2b,4867,-0.10656354,5.012304576,1.484069011,0.232992249,0.325321222,0_vs_24,DuxOE,0_vs_24_DuxOE
Tbc1d24,8557,0.117378871,4.521527019,1.48403561,0.232997378,0.325321222,0_vs_24,DuxOE,0_vs_24_DuxOE
Ppp2r2b,4035,0.916721763,-1.252875015,1.483666224,0.233054113,0.325376936,0_vs_24,DuxOE,0_vs_24_DuxOE
Wdr4,5439,0.097279416,5.15253551,1.481742413,0.233349878,0.325766338,0_vs_24,DuxOE,0_vs_24_DuxOE
Tet1,15457,0.065801982,8.255666288,1.481431719,0.233397688,0.325809554,0_vs_24,DuxOE,0_vs_24_DuxOE
Srrm3,6406,-0.406131095,0.735275475,1.480901501,0.233479307,0.325899955,0_vs_24,DuxOE,0_vs_24_DuxOE
Irak1bp1,2158,0.14559975,3.851931862,1.480695127,0.233511085,0.325920418,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm5763,1530,0.712929768,-0.8151417,1.480587324,0.233527687,0.325920418,0_vs_24,DuxOE,0_vs_24_DuxOE
Plod1,6765,-0.08506974,6.089030074,1.480181433,0.233590208,0.32598414,0_vs_24,DuxOE,0_vs_24_DuxOE
Atp2c2,3222,-0.294612898,1.699965524,1.480013172,0.233616132,0.325996784,0_vs_24,DuxOE,0_vs_24_DuxOE
Mansc4,1278,-0.560973494,-0.119781968,1.477109429,0.234064088,0.326598302,0_vs_24,DuxOE,0_vs_24_DuxOE
Spef2,9916,0.838019475,-1.162726589,1.476766202,0.234117108,0.326648706,0_vs_24,DuxOE,0_vs_24_DuxOE
Ikbkb,19078,0.089121177,5.675177694,1.476267309,0.234194203,0.326732688,0_vs_24,DuxOE,0_vs_24_DuxOE
Arid3a,5562,-0.116087009,4.467795032,1.475779448,0.234269623,0.326814323,0_vs_24,DuxOE,0_vs_24_DuxOE
Sgk2,3412,-0.429504879,0.547190664,1.475188218,0.234361064,0.326918295,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm9929,1671,-0.258936236,2.148788114,1.47469549,0.234437305,0.32700105,0_vs_24,DuxOE,0_vs_24_DuxOE
Syt7,7487,-0.147554537,3.719121566,1.474142927,0.234522842,0.327079296,0_vs_24,DuxOE,0_vs_24_DuxOE
Olfml2a,5579,-0.529677677,0.235183918,1.474114508,0.234527243,0.327079296,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm47370,1829,0.343079971,1.14184003,1.471662263,0.234907334,0.32756212,0_vs_24,DuxOE,0_vs_24_DuxOE
Timm10,815,-0.137295734,3.888841162,1.471400387,0.23494797,0.327595153,0_vs_24,DuxOE,0_vs_24_DuxOE
Gem,2104,0.284588142,1.662800763,1.470669021,0.235061505,0.327718825,0_vs_24,DuxOE,0_vs_24_DuxOE
Platr9,2376,0.712306108,-0.814976649,1.47050216,0.235087417,0.327718825,0_vs_24,DuxOE,0_vs_24_DuxOE
Tssk3,1280,0.89480708,-1.39996638,1.470466386,0.235092973,0.327718825,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm15612,3118,0.89708233,-1.400093656,1.470392311,0.235104478,0.327718825,0_vs_24,DuxOE,0_vs_24_DuxOE
Atp6v1g1,1135,0.070359267,6.987153048,1.469524109,0.235239375,0.327861219,0_vs_24,DuxOE,0_vs_24_DuxOE
Bst1,3317,-0.812857203,-1.037526133,1.469417975,0.235255873,0.327861219,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm15727,437,-0.764348146,-0.748629009,1.469336668,0.235268512,0.327861219,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm21863,336,0.322770288,1.332048634,1.469298324,0.235274473,0.327861219,0_vs_24,DuxOE,0_vs_24_DuxOE
Slc7a9,2676,-0.864346017,-1.253262935,1.468709203,0.235366081,0.327965235,0_vs_24,DuxOE,0_vs_24_DuxOE
Slc50a1,1466,-0.155193577,3.523742169,1.468589514,0.235384698,0.327967536,0_vs_24,DuxOE,0_vs_24_DuxOE
Dio3os,1683,0.902382032,-1.400143279,1.46843299,0.235409047,0.327977823,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm48298,2330,0.651838771,-0.452047383,1.468184288,0.235447742,0.328008094,0_vs_24,DuxOE,0_vs_24_DuxOE
