TE,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Rep.RLTR10E.LTR.ERVK,47608,0.957117083,2.340455067,24.89509522,2.64E-05,0.000108756,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR34C_MM.LTR.ERVK,86977,1.618454272,0.891035151,24.67781771,2.80E-05,0.000114835,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR20B3A_MM.LTR.ERVK,147981,0.66525604,3.714573507,23.8756176,3.51E-05,0.000140974,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR16.LTR.ERVK,53164,1.06784896,1.922443621,23.79984413,3.59E-05,0.000143713,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR48A.LTR.ERV1,210283,0.667378062,3.39653654,23.59716053,3.80E-05,0.000151345,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR13A.LTR.ERVK,123949,0.996806718,2.293185168,23.42010077,4.00E-05,0.000158001,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RMER17A.LTR.ERVK,460824,0.796304322,2.918584489,23.3005311,4.14E-05,0.000163015,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR19.LTR.ERVK,30342,1.385589706,1.219580734,23.05633861,4.44E-05,0.000173756,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR9A.LTR.ERVK,108221,0.72361926,3.179151228,21.76340925,6.48E-05,0.000243686,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR10B2.LTR.ERVK,252709,0.696036702,3.032313756,20.91660949,8.35E-05,0.000305148,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.LTR105_Mam.LTR.ERVL,3276,6.430079673,-1.349090297,21.01457341,8.70E-05,0.00031698,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RMER17C2.LTR.ERVK,282680,0.675122105,3.133841316,20.05701324,0.000108475,0.000385118,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR20D.LTR.ERVK,142516,0.689707376,3.049666195,19.32918994,0.000135976,0.000471575,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RMER12C.LTR.ERVK,32590,2.349385772,-0.229520869,18.57764652,0.000172393,0.000584347,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.L1VL1.LINE.L1,356721,1.079343938,1.514192815,18.23832787,0.000192151,0.000642863,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ERVB4_3-LTR_MM.LTR.ERVK,40403,3.622354941,-0.997645091,18.16889888,0.000196485,0.00065608,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR9A3.LTR.ERVK,73737,1.201879175,1.416043398,17.54156684,0.000240765,0.000787251,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR41A2.LTR.ERV1,29704,1.136258345,1.277227325,16.32796656,0.000359903,0.001131083,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR41C.LTR.ERV1,23829,1.769201956,0.078061843,15.806325,0.000429396,0.00132577,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR16C_MM.LTR.ERVK,81630,0.60169112,2.942786878,15.06784748,0.000553546,0.00165979,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RMER17C.LTR.ERVK,107620,1.008022318,1.64372501,14.53238135,0.000667515,0.001966732,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MLT1B.LTR.ERVL-MaLR,33146,1.351796548,0.574258625,14.24310892,0.000739378,0.002152899,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.PB1.SINE.Alu,16026,1.112969473,1.227171738,13.95473495,0.000819365,0.002363347,0_vs_24,DuxOE,0_vs_24_DuxOE
