gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
A930004J17Rik,7.261304917,5.367311491,8.358832414,11.87744675,6.468971585,10.75676593
A930029G22Rik,0.33571203,0.734941952,0.61112208,1.518018616,1.179824985,0.466583579
A930037H05Rik,1.03666195,2.667118297,2.314311825,3.768756855,1.498222987,1.822738409
AC240460.1,1.186918583,1.732970752,2.956497193,6.453189882,3.122493239,2.699916986
AI197445,0.191881123,1.04857683,1.053675367,1.432904144,0.568857254,0.633678238
AI480526,4.839506486,7.056730922,10.17336712,11.76120756,8.960826348,5.769051811
AI661453,9.250246128,13.10331496,14.23461747,22.61917892,21.68197859,20.11624192
AU040320,10.3655542,8.842942419,15.20556706,19.77429626,16.61038546,18.01439103
AU041133,1.152782589,2.775237557,2.93142623,3.198880879,1.315347874,2.180402308
Aars,375.0883338,460.5692755,760.0760682,914.2941905,796.2394656,729.1769311
Aatk,1.563566754,0.992437484,2.112848391,4.728234001,3.355186514,1.444309937
Abca8b,0.737156035,1.088813631,1.682320228,5.880592062,4.358805161,2.260961969
Abcb6,1.531989837,1.224839554,1.685836483,3.466595474,2.869562255,2.11888767
Abcg4,0.997373714,0.774128815,1.913255789,3.235444533,2.337412679,1.183254609
Abhd12,27.64597701,26.10623252,39.63886807,46.33620314,43.5099774,45.99339734
Ablim3,3.74659649,1.859279995,3.767124668,4.891203479,2.288438465,1.681748153
Abraxas1,8.006392066,17.14336711,16.98062441,17.17232703,12.25916023,8.815226583
Acan,16.09856215,20.50246327,19.47681319,20.7809783,10.81824151,7.688935604
Ace3,0.21277071,0.108168252,0.495703657,0.668099271,0.489932924,0.081369622
Acot2,3.062571381,4.225179041,4.1702236,7.009585363,4.606558467,3.447798463
Acsf2,43.14620861,24.88468455,34.02891682,48.36077454,39.49935072,46.67247557
Acsm3,3.572732928,2.484648229,3.796211259,6.714675655,3.637811617,4.527159498
Acss1,26.8075463,17.02229929,39.11172239,70.38517166,63.92229519,55.93833647
Adam22,7.095933385,9.935050395,11.77856271,16.31983365,15.33718356,15.86765447
Adamts1,1.967969968,1.804957602,3.200625807,4.033633955,2.075655649,1.161692981
Adamts2,2.468686035,1.224839554,2.588227241,4.569657455,2.562637943,2.732343045
Adamts20,2.281485218,1.385873803,1.949178562,3.330875084,1.452987388,0.843587937
Adamts4,2.652106263,3.944383032,4.572834547,5.848115365,4.532713934,3.810780686
Adcy1,18.37703311,20.51169932,25.16220056,46.68223032,31.95324625,27.96509275
Adcy7,1.722653357,1.468607744,1.726401681,2.360430338,0.814792297,0.827533091
Adcy9,3.581186802,4.828699295,6.370060644,9.068238756,5.527616362,5.018553852
Adgra2,3.098833729,5.195763565,9.239700595,21.16085384,16.83293433,20.3039904
Adhfe1,2.813765631,2.53190254,3.40319285,6.656405498,4.758485737,2.914187492
Adtrp,0.694450156,0.601919379,1.900540102,3.61764265,2.608135388,1.553313462
Aff1,71.88436625,66.65978315,97.27752763,128.4937299,105.1146774,115.4917223
Aga,15.22441696,10.96896016,16.71236337,24.27533164,23.73032901,19.30682282
Ago4,3.172478022,1.561870105,2.50256834,4.267926897,3.255908508,2.315181982
Agtr1a,0.441481943,0.996247427,1.526144822,1.867213535,0.541799874,0.249863421
Ahcyl2,35.05186008,26.240107,36.34437517,58.39825599,53.63236836,51.83795615
Akain1,0.846430395,0.079452753,1.143200538,3.552440365,3.43206762,1.967416821
Aldh18a1,88.75322383,101.3221248,172.5467943,198.2350685,173.9853926,190.0194279
Aldh5a1,19.78664399,13.67250881,19.53142556,30.65631291,24.10145153,22.34711957
Alg1,23.61083872,20.0792659,30.56208071,40.81673055,40.44632519,35.51854996
Alg2,3.876089715,13.57083677,17.70661996,18.11966976,10.88556741,8.269316993
Alg8,3.627017979,11.24704741,11.53539452,14.48811862,11.66141428,10.12312816
Alpk3,27.68915744,33.00659025,41.26457748,76.43701938,58.32762909,60.01667333
Alpl,117.9125007,73.44083129,97.61525074,158.2988559,155.6331464,138.5867534
Amer2,0.561420914,0.276703514,0.744826991,2.940706171,1.308974774,0.807532225
Amotl2,23.29346536,36.9315392,56.98462366,64.09263071,50.84381382,46.57640181
Ank2,15.43207264,13.01414533,18.6044117,37.05370331,28.04012028,24.41214356
Ankle1,5.774162661,7.037625385,8.356931476,15.14368164,8.351336462,6.17864913
Ankrd12,21.48056521,20.61355152,32.21201654,62.7318024,59.41003046,57.95026557
Ankrd31,2.863601368,1.995108936,2.896646574,4.27480195,1.996799287,1.491415462
Ankrd44,9.116692301,6.814138533,12.19197491,20.10577733,16.97305929,12.79383951
Ankrd45,5.120939272,9.374057732,11.35391899,13.52290342,13.12680622,10.28029979
Ano1,1.701512329,0.906295772,1.252160156,3.835172445,1.644687876,1.421640127
Ap5s1,3.148507112,6.378828313,5.97993279,7.849201162,5.055629017,3.743290743
Apba1,1.272186746,2.172842711,2.427294275,3.893411025,1.761907432,1.537308521
Apba2,2.085086922,2.277945491,3.165423656,4.976793743,2.061986171,3.407317293
Aph1c,4.14019163,3.582438906,6.306715734,9.706920308,7.050806318,5.759156721
Apoe,1572.152051,1228.066858,2016.988739,2638.531505,2564.897996,2178.482075
App,30.96004755,17.64053458,37.11393093,93.98622277,69.25817514,77.73881235
Aqp6,1.472249497,0.788616393,1.929985449,5.163360973,2.880228617,1.37428513
Arfgef2,46.18244584,42.47419332,63.40559338,94.19462715,84.53806484,79.99782701
Arhgap18,4.935980396,1.74338581,3.636424608,5.374045977,4.209572357,2.849128326
Arhgap27,16.46729035,12.42578794,16.4923675,31.65986641,26.73439258,23.62007029
Arhgap33,6.318142142,3.253285313,4.321435067,7.03700566,2.824483973,2.662610207
Arhgef2,27.30046047,37.78512192,46.52072207,73.72082682,57.10338032,58.99571265
Arhgef9,2.573901518,3.415474506,3.762380194,5.995754667,4.49954036,3.268376375
Arl14ep,47.822532,88.0179184,139.7807789,141.4441521,98.63048162,67.65775162
Armc5,5.610377234,7.906809263,8.77926497,9.727040225,5.918066501,4.180957461
Arnt2,3.467870213,2.144688577,4.011808209,9.551991711,5.955531331,4.895404546
Arr3,1.627945653,0.691609836,2.076381808,3.779993278,2.189150261,2.893489545
Arsa,26.95539538,14.89881543,23.1615272,36.49202102,34.33649472,28.71906613
Arsb,0.747273478,0.745416391,1.170686562,2.519472791,1.554536334,1.431097411
Arsg,1.687516081,1.046176106,1.682320228,3.26063473,2.440910798,1.344951012
Asb17,0.195511077,0.269276808,0.642284905,0.982141719,0.839373295,0.189103943
Ash1l,21.03215887,32.30410596,33.93274262,52.98845418,42.21114038,48.85328495
Asic3,0.691641155,0.401796864,1.364229705,1.769593302,1.123838183,0.775099669
Atf3,1.950880927,3.055162779,10.04904416,10.99878072,5.293433392,2.124449016
Atp11a,64.22523651,74.14094919,73.69951717,131.9627844,113.9926267,129.5197299
Atp1a3,252.7156971,122.681013,151.8573435,268.1818752,148.7021159,112.2062062
Atp1b2,53.67128409,26.00416598,46.02391781,63.74204456,37.80045825,29.71574621
Atp2a2,439.6277442,395.9109317,523.4895697,758.5153978,713.3104157,736.4791027
Atp2b2,10.72102541,10.7112769,27.75213915,46.40108329,29.48461809,18.53136208
Atrnl1,16.12507841,18.65512454,20.60670504,36.03515215,29.37787297,32.09738076
