gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
Fam169a,35.63961729,56.49197697,51.50395328,42.02120894,19.16315189,26.43323435
Fam174b,2.449451277,0.499986653,8.836211005,3.229907912,0.956790483,0.216396878
Fam184b,0.014955167,0.104004085,0.068126158,0,0.024617366,0.467428028
Fancd2os,0,0,2.652034942,16.55229696,8.797571385,2.941491921
Fasn,60.02718448,50.95583172,25.61682797,74.44990037,190.9226633,79.60512933
Fastkd5,25.10147194,18.0175703,21.22241315,61.56953801,11.62100934,19.83959497
Fbxo9,49.5167134,51.43459637,33.54652575,21.60130171,23.55124457,51.20649853
Fgf10,29.05732412,29.09057588,11.92137733,0.51132771,7.672259144,64.3205395
Fgf17,0,0,0.128115949,0,0,0.001414366
Fgf18,7.063074002,2.94565066,1.16238205,1.395873101,0.980709852,0.007214882
Frat1,0.026170262,0,13.61963465,129.019331,28.00218506,8.057358475
Gcsh,0.576435619,3.4958799,519.6319792,1485.14318,1320.004115,261.7718208
Gemin7,41.51279289,26.70407018,14.03362643,29.5476203,12.73061627,27.91660068
Gja1,0.1220357,1.064635197,189.7998157,580.74081,1207.750711,1235.754164
Gm10244,0.089730999,0,0.338409106,0.16545989,0.555179603,0.684907268
Gm12790,2.598612054,1.857795148,16.14131406,26.33054587,25.07748418,69.90682691
Gm14124,0.422810624,1.922787515,1.776609424,4.109012962,2.447143748,4.094138915
Gm14139,0.497763601,0.835834673,1.761572441,13.87127344,2.955867107,8.587048679
Gm16286,29.5792825,24.51478971,37.39498534,251.1089158,187.6783444,252.0013731
Gm2027,0.182351209,0.306752811,68.11133521,31.86058472,5.646476755,0.704436737
Gm20767,1.719165793,2.988349335,154.4817484,3.974788859,0.14879167,0.025007933
Gm20939,0.976207842,1.26665517,25.08371218,15.34570011,14.94900162,27.12715393
Gm32856,0.423882522,0.091967119,0.119135252,4.823485967,5.07682334,2.715573434
Gm6712,3.652508259,2.900511457,4.448411327,17.08198135,11.91536689,4.192386045
Gpatch3,0.691929662,0.786441525,78.09694299,10.96105166,3.015753571,3.24768036
Grin1,0,0.076517715,0.207376806,0.809037917,6.507000152,0.132472616
Grsf1,134.9604039,144.198069,238.7959406,298.7523937,98.21427467,121.6457581
Gsta3,0,0.037661243,0.021684881,0,0.474355968,4.271850103
Gtf3c6,11.34022191,9.095133846,259.4350045,133.9409476,53.06402971,77.51048359
Guca1b,0,0.081874792,0.890342611,3.164057443,0.017661547,1.571960201
H2-M5,3.155998008,3.769834287,2.108379695,0,1.323581148,4.628430399
Hgh1,2.484260472,1.652710448,1.796704264,41.45269816,23.81952195,13.31024183
Hmgcr,61.66793573,30.13144484,15.52954024,25.61975112,16.19094566,55.77894461
Hpdl,0,0.284780103,7.990718016,37.43837475,72.01702979,46.47308084
Hspd1,101.7576013,100.684695,87.77510802,180.2980301,287.6650488,784.0117061
Hsph1,127.2192425,108.3863021,287.9459135,379.3730214,176.1566997,633.4943206
Hvcn1,52.63358383,43.60341114,23.01465338,7.382732579,6.628746511,5.042249114
Ino80c,9.163710625,10.24677484,44.38705243,100.0501812,157.1978061,137.2781064
Insyn2b,1.671994758,0.499884178,3.030986148,0,0.076398723,0.017530287
Ints6,64.09115238,41.8779864,195.5731187,62.17866365,67.45293222,61.72950892
Isy1,60.1373529,54.71999575,25.32131029,19.23876445,53.57105228,47.53474925
Itga9,97.09808471,120.9441891,26.33479161,1.326218119,0.151541133,0.061652999
Itpa,7.404381574,5.804011746,18.33842883,55.22871706,82.22161964,69.35579941
Jpt1,96.49163041,69.83970022,559.0950018,456.4420406,419.1401531,323.0962891
Jup,18.00530354,19.34978496,19.79705357,14.37113041,36.46255286,54.51998483
Kcnk2,1.280013158,1.060131324,3.494257631,15.50113593,0.102401687,0.005732983
Klhdc4,4.46044648,6.789113708,11.47390784,66.37480129,109.9217757,63.4658895
Knop1,9.500390966,12.18269772,84.38410567,313.7416007,202.6523539,138.6282456
Krtdap,0.2239233,0.441799886,0.735532795,0,1.997571079,6.50516112
Lasp1,0.624081015,1.873358323,2.884289955,2.635473516,106.6169606,80.94493826
Lefty2,0,0.025107495,0.268606175,0,0,1.434025889
Lin28a,146.9226627,233.4484518,54.92936948,36.30878275,75.65529937,16.59224652
Lpar6,0,0.071370766,89.44587997,1.732902137,1.083587431,0.096897841
Lrif1,19.30029869,15.47488554,20.42155435,97.6018118,19.36784219,17.10253228
Lrrn4,46.45243372,16.81623591,11.66946561,6.337997466,13.00365599,8.820958282
Lypla1,17.49177907,37.60588201,39.86502129,77.42629934,211.1204045,139.1549898
Man2c1os,0.065525414,0.05021499,1.234011034,0.70187011,0.285652409,0.390028158
Manba,125.6446825,106.2774963,7.89565368,1.276360471,0.236921844,17.97628274
Map1a,0.462887113,2.100545015,1.9019982,1.386701337,0.416458542,1.636651791
Map2k6,3.358345771,2.974361164,2.878960918,0.007957936,6.906773078,48.18855247
Mep1b,0.163512005,0.569358433,1.801562415,11.45661469,30.78700769,31.29497081
Mlx,18.88313338,10.46110861,12.91559997,23.24633491,32.50301156,29.85891968
Mospd3,13.00719784,6.94635108,6.086288048,24.24117245,17.78662649,9.12563903
Mrgprd,0,0,0.612810504,0,0,0
Mrpl18,115.5394969,58.32720792,35.88256304,107.4401665,194.9515748,316.9481306
Mslnl,0,0,0.488619338,13.07660969,3.250373541,3.572232847
Msmo1,11.05669326,8.729405355,20.47149022,25.42806538,182.5348432,73.8381117
Msrb2,1.322547327,0.799852234,0.130459772,5.080695262,4.046197194,21.45637025
Mvk,1.242283676,0.127276342,15.2999129,0.341995204,5.891369944,24.43205924
Myo1f,0,0,0.127829183,0,0.625962485,0.444468542
Myo1g,0.021841805,0.768896013,0.227303445,0.702931224,1.973813036,3.464339484
Mzf1,0,1.110842764,1.132545303,8.579540375,1.288967355,2.291840711
N4bp3,0,0,0.789666144,0.581335055,2.584472745,5.968737927
Nanos3,0,0,3.306713442,6.376157916,2.670007532,0.352259571
Nefh,6.357534468,5.461747382,1.417276528,0.013435373,2.797029351,1.464053549
Nepro,0.186566278,2.338879293,77.64302684,54.76725719,17.37452289,11.28330609
Ngdn,74.79400743,60.72989203,51.1914918,228.2274315,276.2880088,245.1242213
Nifk,85.68807087,111.8002865,221.4801047,323.2164427,260.359951,206.5285338
Nip7,39.41419124,48.55523516,291.6608519,491.5409372,286.6830819,211.8641194
Nlrc4,4.956238492,1.212640289,7.45970857,8.759349822,1.576363409,3.164803925
Nlrp4f,1485.902994,2138.961564,429.0833282,31.97678288,4.511297109,7.522600952
Nmnat1,6.761222997,3.540735822,63.01211377,40.28510152,15.76494314,13.86180358
Nr5a2,32.85954683,40.37186681,282.7320851,616.3973196,254.8302536,87.54342561
