gene,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Pkd1l1,7640,0.442784897,-1.903889645,0.388757899,0.551862171,0.705641535,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Egr3,4406,0.515220285,-1.556169401,0.388656303,0.551912839,0.705641535,0_vs_12,ZfpOE,0_vs_12_ZfpOE
1810062G17Rik,911,0.40076811,-2.207039023,0.388642524,0.551919712,0.705641535,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Pcsk1,5604,0.306071905,0.270960722,0.38857574,0.551953024,0.705641535,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Pum1,6008,0.121559574,8.145614187,0.388521711,0.551979977,0.705641535,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tfcp2l1,9438,0.131163837,8.976619695,0.388415599,0.55203292,0.705666307,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Atp9b,11895,0.112839094,5.542873676,0.388173312,0.552153845,0.70577797,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm48646,1228,0.308515198,-1.182905812,0.388085883,0.552197493,0.70578775,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Igip,2839,-0.140135875,3.781038578,0.388023504,0.55222864,0.70578775,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dbndd2,4389,-0.323503547,-1.445802714,0.387512942,0.552483705,0.706061674,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Wfikkn1,2536,0.388493547,-1.305778857,0.387460061,0.552510136,0.706061674,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ccnq,1224,0.131369126,4.077131797,0.387357286,0.552561514,0.70608441,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rab35,2820,0.121745908,6.456922331,0.387264257,0.552608028,0.706100929,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm5452,997,0.552976529,-2.255076654,0.387078416,0.552700971,0.706176767,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Fcrls,2334,-0.538835408,-2.261013123,0.386770155,0.552855209,0.706330907,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gpcpd1,7289,0.183157951,4.332300801,0.386515482,0.5529827,0.706450857,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ogfod2,2260,-0.238025462,2.834571883,0.386373983,0.553053561,0.706498452,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Cdc42ep3,2309,0.133419308,4.079096516,0.386126034,0.553177776,0.706614193,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Slc5a4b,3202,-0.133050445,3.006752605,0.385711825,0.553385407,0.706836467,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Csf3r,3609,0.29084088,-0.685379696,0.385369566,0.553557091,0.706972939,0_vs_12,ZfpOE,0_vs_12_ZfpOE
