gene,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Lefty2,2611,4.337521004,7.883712225,405.8288165,1.10E-07,0.002317512,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Enox1,7962,3.292793407,5.20974013,271.7331642,4.66E-07,0.003397438,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Lefty1,1758,4.392019294,5.447255049,268.6967746,4.85E-07,0.003397438,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Txnip,3123,-2.772804587,10.29950158,221.3595931,9.68E-07,0.004292624,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Hrk,5677,-3.389892904,5.101435545,210.5218696,1.16E-06,0.004292624,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Zfp352,2276,4.562960847,5.641755872,207.1664409,1.23E-06,0.004292624,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Atp12a,4016,-3.961115369,3.680067214,193.0316848,1.57E-06,0.004514766,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm37691,2573,-6.792375366,0.985669348,183.2692275,1.89E-06,0.004514766,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Kctd19,3048,-3.924001821,2.364181468,182.1612835,1.93E-06,0.004514766,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ldlr,9622,2.421169166,5.945555227,170.562698,2.44E-06,0.004940081,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Atf3,2154,-3.060676365,3.386525046,167.7680728,2.58E-06,0.004940081,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Fbln5,6911,-3.735735724,2.120090627,155.7707117,3.36E-06,0.005077872,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Scd2,5464,2.244741598,9.022448413,155.0868655,3.41E-06,0.005077872,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dusp8,4870,-4.183935276,1.599166583,150.7062891,3.77E-06,0.005077872,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rbfaos,2708,3.474419708,3.198391615,148.0807414,4.01E-06,0.005077872,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Lbhd1,3281,3.104629779,3.716951248,147.2648329,4.09E-06,0.005077872,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rspo4,2371,-4.028019438,1.308417201,147.083906,4.11E-06,0.005077872,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Trh,1384,3.058589008,6.658591474,143.013296,4.53E-06,0.005291663,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Myc,2717,2.490449325,5.443379327,131.4867579,6.08E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Fn3k,4399,-5.080567283,0.548062022,131.1544972,6.13E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dll1,4219,-2.885707444,3.068382651,126.9719581,6.87E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
App,12996,-2.07367852,5.220975332,121.7435034,7.95E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Moxd1,3198,-2.482000516,3.745129939,121.3535411,8.04E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
St6galnac3,8994,-2.578268935,3.913431201,121.1240805,8.09E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Lamb3,6612,-2.441243932,3.337345497,120.9674962,8.13E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dppa2,2447,1.957257369,7.265999517,120.0614181,8.34E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Id3,1791,2.640103387,5.083204802,119.8402803,8.40E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Sfpq,4743,1.984114046,8.754285866,118.8467854,8.64E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Crispld2,4777,-2.770197916,2.185458838,117.6136814,8.96E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ablim2,7047,-2.651964251,3.247419638,116.9027348,9.15E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Kif1a,9330,-2.150356756,4.962458046,116.7498825,9.19E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Prkcb,7651,-2.377133227,4.007214183,116.6505002,9.22E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Mcoln3,3467,-3.868785682,0.912911504,115.8971493,9.43E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gch1,6251,-2.292477612,3.955249261,115.7119415,9.48E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Exoc3l,3693,2.486331212,4.510644537,114.1327649,9.95E-06,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
H2-Q6,2085,-3.259474416,1.8621849,113.9073326,1.00E-05,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tarm1,2066,-2.746847919,2.392437738,113.1647214,1.02E-05,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dhx9,9603,2.318512155,9.155917629,110.9040955,1.10E-05,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ddx39,5155,1.83764216,7.530193816,110.6218482,1.11E-05,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Entpd3,3755,-3.092643511,1.614215272,110.152451,1.12E-05,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Creb5,25021,-3.637369003,1.030122864,108.3094936,1.19E-05,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Hcn4,6118,-3.311688259,1.585708168,107.9578648,1.21E-05,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Aldh1l2,7503,-2.283143746,4.960162039,107.6523532,1.22E-05,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Egr1,4484,-2.970321134,6.090956599,107.4435208,1.23E-05,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Chac1,1637,-3.574945123,6.877297313,107.2085402,1.24E-05,0.005769853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tmem117,4890,-3.568088632,0.814793889,104.626468,1.34E-05,0.0060825,0_vs_12,ZfpOE,0_vs_12_ZfpOE
H2-Q7,4265,-2.681598507,4.43217954,104.259805,1.36E-05,0.0060825,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tsc22d3,4341,-2.424900637,3.379140225,101.8107539,1.48E-05,0.006446156,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gab2,6168,-2.89562433,1.605176128,100.6515433,1.54E-05,0.006446156,0_vs_12,ZfpOE,0_vs_12_ZfpOE
H1f0,2055,-2.205384889,7.676345456,100.1918769,1.56E-05,0.006446156,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Trim52,3518,-1.974419338,4.319655506,100.1143148,1.56E-05,0.006446156,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Fasn,10947,1.747924131,8.808554598,98.40001559,1.66E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tspo2,3225,-2.812548197,2.68717916,98.38594823,1.66E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Krt13,1821,3.341087726,0.973096376,97.79484955,1.70E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
G0s2,871,-2.505785987,2.340094044,97.26866851,1.73E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Crmp1,7046,2.22372008,3.500420159,95.74754378,1.82E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Eef1akmt1,947,2.051438666,3.761360008,95.73717608,1.82E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Samd9l,5427,3.947258997,1.631765437,95.57849461,1.83E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ddit3,1713,-2.670075363,5.240798251,94.94678255,1.88E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
P2rx3,2789,-2.586380796,1.931257298,94.25559706,1.92E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Grina,2067,-2.125639899,4.860229175,94.09079923,1.94E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Zscan10,2856,1.745308427,6.586845202,93.55095039,1.97E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Cyb5r2,2772,-2.459356574,2.241850453,93.02853993,2.01E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Psd2,4785,-2.508126732,2.59428583,92.92368453,2.02E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Lbp,4831,-2.946999755,1.306882026,91.92340543,2.10E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gdf3,2423,1.818358071,5.851115613,91.87957747,2.10E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
mt-Te,69,3.81972522,0.495973013,91.80728991,2.10E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Aldh18a1,4072,-1.662523855,7.582360108,91.70033074,2.11E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rapgef4,6677,2.603616318,1.88207111,91.51700026,2.13E-05,0.00648325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tlcd1,5009,1.993478874,3.672941821,90.00559163,2.25E-05,0.006677166,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm14267,3153,-2.420818404,2.353605004,89.97629859,2.26E-05,0.006677166,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Zfp532,8970,1.622315075,6.545724968,88.74337723,2.36E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ano10,5910,-2.061320697,3.226347765,88.43139294,2.39E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Eprn,1306,2.162357341,3.505248623,87.96804523,2.44E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Vldlr,10068,-2.104597172,4.086192337,87.77767913,2.45E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Cpne7,5268,-2.529161592,2.878099476,87.51487055,2.48E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm28438,345,1.803126029,7.523493445,86.55923931,2.57E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rims3,7972,-1.81090216,5.77852193,86.29210442,2.60E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm14820,2096,2.608624973,2.726694676,86.13770274,2.62E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Nynrin,7518,1.709276253,5.958291869,85.75144002,2.66E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm5091,1301,-2.413613362,2.386147155,85.30036888,2.71E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Hpdl,1804,2.152248589,3.931138977,85.14208817,2.72E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rassf6,4260,-3.497545543,0.751713097,84.89648354,2.75E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Arnt2,7689,-2.027766981,3.344041124,84.7001006,2.77E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gpr83,5095,2.927750164,1.120516005,84.03189504,2.85E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tdrd9,5415,-2.012578747,3.169252056,83.92555005,2.86E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Thsd4,13986,-3.054097265,0.894308394,83.88672431,2.86E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Zfr2,7483,-2.874920178,1.813377811,83.65669576,2.89E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Zbtb45,4210,1.821250207,5.235413855,83.46157407,2.91E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Mbp,8469,-2.289799934,2.400107436,83.12787567,2.95E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gja1,10257,1.596916498,6.420115985,83.08574927,2.96E-05,0.006834615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Fos,2352,-2.351567556,2.182077456,82.76962355,3.00E-05,0.006848452,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Atp2b2,12612,-2.351642029,1.942100728,82.400077,3.04E-05,0.006878567,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Mfsd6,8231,-2.126281132,2.584125605,81.56045785,3.15E-05,0.007004358,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ppp1r3c,2725,-2.654783473,1.399612787,81.44919893,3.17E-05,0.007004358,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Nfatc1,7469,-2.47250933,1.915076562,81.01750686,3.22E-05,0.007057489,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Olfr1372-ps1,9812,-1.906325758,3.800001591,80.36350511,3.31E-05,0.007110974,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Onecut2,16234,-3.439636224,1.483986422,80.30716387,3.32E-05,0.007110974,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Mapre3,3459,-1.9449212,3.723357457,80.10690984,3.35E-05,0.007110974,0_vs_12,ZfpOE,0_vs_12_ZfpOE
mt-Nd2,1038,1.908529325,10.14279018,78.64225946,3.56E-05,0.007411705,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ablim3,4535,-2.481483847,2.085123468,78.13842398,3.64E-05,0.007411705,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tspan18,8175,-2.423488433,2.182437488,77.96819294,3.67E-05,0.007411705,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Cyp27a1,2173,-2.144753009,2.269433074,77.94872401,3.67E-05,0.007411705,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ubap1l,2362,-2.230899625,2.97783811,77.74655821,3.71E-05,0.007411705,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Zfp385b,8223,-4.86213368,-0.302653093,77.71695434,3.71E-05,0.007411705,0_vs_12,ZfpOE,0_vs_12_ZfpOE
H2aw,2146,-2.64359966,1.295563441,77.40102059,3.76E-05,0.007411705,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Sgk2,3412,2.003158606,3.210830126,77.31240138,3.78E-05,0.007411705,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ceacam1,5806,1.859222552,5.301335496,77.12366705,3.81E-05,0.007411705,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Btn1a1,4119,-3.002194906,0.673646408,76.21603772,3.96E-05,0.007573816,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Pyroxd2,4815,-2.733587901,1.236558417,75.23619053,4.14E-05,0.007794042,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Srgap3,9852,-2.122308055,3.765838464,75.16890028,4.15E-05,0.007794042,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Robo4,5302,2.342667757,3.081482761,74.83296589,4.22E-05,0.007842624,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Enpp5,4858,-1.799713076,3.768423868,74.16169491,4.35E-05,0.007846911,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Eps8l2,5377,-2.322541948,2.56772109,74.06839516,4.36E-05,0.007846911,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tmc7,5763,-1.820181985,4.040796067,74.06697249,4.36E-05,0.007846911,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tmppe,2921,1.746434127,5.008823307,74.03278298,4.37E-05,0.007846911,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rnf157,9537,-1.875767347,3.121518807,73.86556683,4.40E-05,0.007846911,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Fam83h,5212,1.929397141,3.326780539,73.34365732,4.51E-05,0.007890542,0_vs_12,ZfpOE,0_vs_12_ZfpOE
S100a10,1212,1.591656393,5.442094693,73.09274757,4.56E-05,0.007890542,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ppm1h,10226,-2.004994476,2.938692188,73.02696534,4.58E-05,0.007890542,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ppp1r10,5623,1.93679496,5.861307976,73.01729547,4.58E-05,0.007890542,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Notch4,8061,2.078065358,5.269563728,72.73554762,4.64E-05,0.007928846,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gjb2,2406,-2.383937677,1.52266964,71.73047642,4.86E-05,0.008153047,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Hhip,9076,-2.941526077,2.590256776,71.65621343,4.88E-05,0.008153047,0_vs_12,ZfpOE,0_vs_12_ZfpOE
D430019H16Rik,5786,-1.980937814,2.954673136,71.58791069,4.89E-05,0.008153047,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Bhlhe41,6720,-3.637611643,0.79531107,71.19500146,4.98E-05,0.008153047,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Prss42,1584,-1.908050769,3.17044728,71.04628329,5.02E-05,0.008153047,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Kif17,4582,-2.176903184,2.391750995,70.91293669,5.05E-05,0.008153047,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Sntg2,3410,-3.858112201,-0.115135602,70.85128179,5.07E-05,0.008153047,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Entpd2,2128,-2.516319085,1.314221244,70.78897418,5.08E-05,0.008153047,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Epha8,4713,-2.906819122,0.922738962,70.53633513,5.14E-05,0.008153047,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ripk1,8344,1.890503832,3.56840134,70.47520573,5.16E-05,0.008153047,0_vs_12,ZfpOE,0_vs_12_ZfpOE
N4bp2l1,3813,-1.922632057,2.753743684,70.15300436,5.24E-05,0.008217543,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tcn2,2178,-1.724154223,4.590662119,69.48730212,5.41E-05,0.008306348,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Itih5,7900,-2.092757125,2.029360026,69.39593499,5.43E-05,0.008306348,0_vs_12,ZfpOE,0_vs_12_ZfpOE
S1pr2,7971,1.50138316,5.602184377,69.30336963,5.46E-05,0.008306348,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gja3,2963,-3.573610632,0.232308807,69.30020219,5.46E-05,0.008306348,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Hmgcs1,4594,1.821244259,7.221150127,69.14730878,5.50E-05,0.008306348,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Optn,3753,-1.748988153,3.520658823,69.0203128,5.53E-05,0.008306348,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Trpm1,14746,-2.141608269,2.6924136,68.62847249,5.64E-05,0.008359218,0_vs_12,ZfpOE,0_vs_12_ZfpOE
H2-Bl,1682,-2.674455994,4.467912567,68.46505815,5.68E-05,0.008359218,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Emp1,5935,1.484479962,5.493964106,68.39995792,5.70E-05,0.008359218,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dap,1925,-1.771292724,3.834232313,68.07975645,5.79E-05,0.008359218,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Mmp2,3371,-1.604527225,4.541980211,67.9561227,5.83E-05,0.008359218,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Bend3,6819,1.639863851,5.315673075,67.92625652,5.84E-05,0.008359218,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tmsb4x,1371,1.575468587,8.397325582,67.87354774,5.85E-05,0.008359218,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tmem151a,4807,-2.751460365,1.733606836,67.6224767,5.92E-05,0.008359218,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Trib1,6248,1.595550134,4.399342193,67.6186888,5.92E-05,0.008359218,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Chd5,9583,-1.918870075,4.804044061,67.13493628,6.07E-05,0.008505144,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Arrdc4,4039,-1.45516873,7.294389437,67.00132323,6.11E-05,0.008505236,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Nrcam,13358,-2.199130904,2.129464516,66.76434019,6.18E-05,0.008549864,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ecel1,3500,-2.56716768,2.58304688,66.3107209,6.32E-05,0.008689517,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Bmp4,2248,1.686257619,5.779726999,66.13494719,6.38E-05,0.008709897,0_vs_12,ZfpOE,0_vs_12_ZfpOE
N4bp3,2728,1.836132025,5.629971211,65.45920752,6.60E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Abca4,12022,-2.145370992,2.044005411,65.43183979,6.61E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rgl3,3924,-2.827599518,1.386894795,65.36935622,6.63E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gbx2,2177,2.105270933,4.614664298,65.20622682,6.69E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Slc45a1,4395,-2.760299485,2.270425646,64.87018171,6.80E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
H2-Q5,1591,-4.143691305,-0.063274136,64.59633456,6.90E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Otub2,3695,-1.667335147,4.361549081,64.58001941,6.91E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ino80c,2828,1.668524378,4.054552942,64.46942228,6.95E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tubb4b,2088,1.632756326,9.013004854,64.31352107,7.00E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Foxc2,2725,-3.946801682,0.891209624,64.25229132,7.02E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Cpeb1,4192,-1.765754139,3.041881755,64.23797099,7.03E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Foxn4,3371,-1.803345079,3.883895006,64.02348818,7.11E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Hsph1,7266,1.505393364,7.650941774,63.82419354,7.18E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ccdc116,4501,2.387230405,1.562050853,63.81710882,7.19E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dnah10,16086,-1.537382893,4.551272333,63.77974947,7.20E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dagla,5747,-1.942001963,2.203796205,63.29477355,7.38E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Sec31b,3950,-1.977461148,2.395577476,63.23021728,7.41E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
3110001I22Rik,1705,1.929751878,2.945536684,63.14679602,7.44E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Coro2a,6459,-2.664542731,2.963762822,62.8119515,7.57E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Grin2c,5037,-3.502389576,0.394292667,62.66581076,7.63E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Cbx4,5210,-2.401225697,3.432742352,62.60618695,7.66E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Cdo1,1644,-1.937121096,2.199565751,62.42945472,7.73E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Vangl1,7156,1.421184303,5.949844879,62.38563183,7.75E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Apex2,8744,1.633860227,3.878561048,62.38225745,7.75E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Usp11,4732,-1.33551258,6.770992658,62.28105829,7.79E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dmbx1,5856,-2.386176999,1.825009919,62.25525605,7.80E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Hoxc13,2461,-2.060631634,1.886139741,62.24632512,7.81E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Jrk,5853,2.089235833,2.673949473,62.21499753,7.82E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm49448,1389,2.682783701,1.347725856,62.19229706,7.83E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Padi2,5013,-1.518712352,4.55906284,62.11871475,7.86E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Adssl1,2090,-1.971658314,3.370059542,62.06205857,7.88E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Hspd1,2642,1.426263185,9.963192372,61.98342182,7.92E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Hoxd1,1862,-3.135277078,0.268730452,61.98248617,7.92E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dhcr24,4028,1.343250163,7.450282299,61.97554504,7.92E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Jun,3189,-2.309416654,3.6758919,61.9583322,7.93E-05,0.008817076,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Zfp819,2466,1.914186523,3.633729601,61.64747002,8.06E-05,0.008918188,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ldha,3310,1.446175911,10.3238962,61.07097535,8.31E-05,0.009060166,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ddx56,2533,1.362855201,6.396358296,61.05879518,8.32E-05,0.009060166,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Npr2,4667,-2.437406046,0.87792622,61.01735966,8.34E-05,0.009060166,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Irf8,7055,-3.001862782,2.583644542,60.96975618,8.36E-05,0.009060166,0_vs_12,ZfpOE,0_vs_12_ZfpOE
L1td1,3174,1.378621868,9.230632518,60.799811,8.44E-05,0.009061908,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm42372,5067,-2.431286228,0.910895041,60.77767184,8.45E-05,0.009061908,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Pno1,1717,1.587174465,6.3341428,60.57487899,8.54E-05,0.009116212,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tdgf1,2622,1.414568723,9.475374854,60.08101054,8.78E-05,0.009191806,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ccdc86,5774,1.465196716,5.084286157,60.07262168,8.78E-05,0.009191806,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Nefh,3994,1.566091506,4.895455668,59.95498743,8.84E-05,0.009191806,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Serinc2,2319,-1.976818101,3.57870508,59.93008938,8.85E-05,0.009191806,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Acat2,2544,1.326441753,6.347941382,59.87236165,8.88E-05,0.009191806,0_vs_12,ZfpOE,0_vs_12_ZfpOE
S100a11,511,1.609393907,5.085722231,59.80435726,8.91E-05,0.009191806,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dnm1,5249,-1.700547463,5.005142964,59.78934945,8.92E-05,0.009191806,0_vs_12,ZfpOE,0_vs_12_ZfpOE
